Group,X9P246R1D4,X9P246R1Dm3,X9P247R1Dm3,X9P248R1Dm3,X9P249R1Dm3,X9P250R1D0,X9P250R1D4,X9P250R1Dm3,X9P251R1D7,X9P251R1Dm3,X9P252R1Dm3,X9P253R1D7,X9P253R1Dm3,X9P254R1Dm3,X9P255R1D0,X9P255R1D7,X9P255R1Dm3,X9P257R1D0,X9P257R1D4,X9P257R1Dm3,X9P258R1D0,X9P258R1D4,X9P258R1Dm3,X9P259R1D0,X9P259R1D4,X9P259R1Dm3,X9P261R1D0,X9P261R1D7,X9P261R1Dm3,X9P262R1D7,X9P262R1Dm3,X9P263R1D0,X9P263R1D7,X9P263R1Dm3,X9P264R1D0,X9P264R1D7,X9P264R1Dm3,X9P265R1D0,X9P265R1D7,X9P265R1Dm3,X9P266R2D4,X9P266R2Dm3,X9P267R2D0,X9P267R2D4,X9P267R2Dm3,X9P268R2Dm3,X9P269R2D0,X9P269R2D4,X9P269R2Dm3,X9P270R2Dm3,X9P271R2D7,X9P271R2Dm3,X9P272R2D7,X9P272R2Dm3,X9P273R2D7,X9P273R2Dm3,X9P274R2D7,X9P274R2Dm3,X9P275R2D7,X9P275R2Dm3,X9P276R2Dm3,X9P277R2Dm3,X9P278R2D0,X9P278R2D4,X9P278R2Dm3,X9P279R2Dm3,X9P280R2D0,X9P280R2Dm3,X9P281R2D7,X9P281R2Dm3,X9P282R2D7,X9P282R2Dm3,X9P283R2D7,X9P283R2Dm3,X9P284R2D0,X9P284R2D7,X9P284R2Dm3,X9P285R2D7,X9P285R2Dm3,X9P286R3D0,X9P286R3D4,X9P286R3Dm3,X9P287R3Dm3,X9P288R3Dm3,X9P289R3D4,X9P289R3Dm3,X9P290R3D0,X9P290R3D4,X9P290R3Dm3,X9P291R3D0,X9P291R3D7,X9P291R3Dminus3,X9P292R3D7,X9P292R3Dm3,X9P293R3D0,X9P293R3D7,X9P293R3Dm3,X9P294R3D7,X9P294R3Dm3,X9P295R3D0,X9P295R3D7,X9P295R3Dm3,X9P296R3D0,X9P296R3D4,X9P296R3Dm3,X9P297R3D0,X9P297R3D4,X9P297R3Dminus3,X9P298R3D4,X9P299R3D0,X9P299R3D4,X9P299R3Dm3,X9P300R3D0,X9P300R3Dm3,X9P301R3D0,X9P301R3D7,X9P301R3Dm3,X9P302R3D0,X9P302R3D7,X9P302R3Dm3,X9P303R3D7,X9P303R3Dminus3,X9P304R3D0,X9P304R3D7,X9P304R3Dm3,X9P305R3D0,X9P305R3D7,X9P305R3Dm3,X9P306R4D4,X9P306R4Dm3,X9P307R4Dm3,X9P308R4D0,X9P308R4Dm3,X9P309R4D0,X9P309R4D4,X9P309R4Dminus3,X9P310R4D0,X9P310R4Dm3,X9P311R4D7,X9P311R4Dm3,X9P312R4D7,X9P312R4Dm3,X9P313R4D7,X9P313R4Dm3,X9P314R4D7,X9P315R4D7,X9P316R4D4,X9P316R4Dm3,X9P317R4D0,X9P317R4D4,X9P317R4Dm3,X9P318R4D4,X9P319R4D4,X9P319R4Dm3,X9P320R4D0,X9P320R4Dm3,X9P321R4D7,X9P321R4Dm3,X9P322R4D0,X9P322R4D7,X9P322R4Dm3,X9P323R4D7,X9P323R4Dm3,X9P324R4D0,X9P324R4D7,X9P324R4Dm3,X9P325R4D7,X9P325R4Dm3
numOtus,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583
Otu0001,17,396,0,8,156,71,58,137,13,77,80,247,107,7,19,93,10,49,157,283,80,264,196,2,83,64,12,38,298,78,5,1,360,83,9,35,364,67,81,101,205,45,2,48,54,136,183,194,26,96,187,72,210,101,30,86,36,83,128,18,3,193,105,46,137,91,92,191,65,236,163,117,251,187,98,36,118,283,18,15,58,150,0,195,55,84,1,18,156,56,173,162,182,21,20,183,188,234,213,18,57,108,1,159,273,17,181,2,253,23,482,75,41,178,108,169,126,143,59,31,226,86,74,194,189,63,204,7,17,148,0,88,25,31,77,246,24,37,147,9,440,246,91,26,296,293,136,21,12,5,92,289,91,50,309,156,233,26,16,485,78,24,1,47,136,43,53,1
Otu0002,114,236,27,196,91,140,39,159,14,32,107,91,69,45,24,70,203,96,182,86,50,163,116,26,81,55,475,115,135,37,37,58,134,92,20,105,138,265,95,174,104,69,30,7,37,51,127,99,80,291,47,227,98,112,14,93,188,99,104,81,23,59,52,214,156,16,61,125,42,176,60,324,48,242,192,90,35,22,39,194,97,326,17,140,214,91,80,94,44,109,109,54,133,43,14,63,174,116,352,68,35,278,11,228,78,192,74,7,201,58,23,301,250,149,121,38,91,60,75,50,182,173,248,250,334,183,250,90,81,89,6,45,72,651,207,24,64,165,158,90,141,348,30,12,58,152,254,7,45,107,173,170,265,81,126,285,69,34,21,74,52,11,54,34,38,93,48,2
Otu0003,115,4,0,1,45,48,707,1,64,35,24,118,23,19,131,221,27,191,358,39,718,212,90,484,299,9,301,87,6,50,1,6,8,1,1020,336,1,261,200,109,108,39,2,0,0,5,23,174,1,0,67,15,97,0,533,0,255,1,350,0,1,0,377,442,53,5,350,0,46,3,27,0,20,0,107,134,20,10,0,12,132,7,0,12,68,9,678,599,0,223,113,68,98,132,72,57,67,25,0,0,11,0,765,54,1,726,89,0,6,57,0,12,335,31,28,16,0,72,68,2,35,1,61,153,1,389,4,90,746,28,0,4,0,105,19,0,459,62,62,0,17,1,149,9,223,204,70,1,241,517,50,133,129,25,9,148,72,41,864,14,50,95,32,14,120,52,33,0
Otu0004,20,132,3,11,44,94,19,29,281,23,53,90,66,13,12,66,35,48,52,30,4,46,77,32,66,43,48,72,86,201,4,93,111,78,13,126,47,25,43,53,134,27,2,276,6,72,0,55,1,41,16,0,81,76,16,4,36,31,94,18,1,4,2,77,31,20,6,118,130,11,79,28,99,59,4,43,0,143,5,8,44,101,2,0,55,83,7,18,29,18,131,10,45,5,45,94,18,125,27,10,14,56,1,144,41,4,179,169,234,110,180,33,14,67,38,93,45,24,77,13,52,51,66,94,36,38,58,6,78,4,2,58,1,16,129,2,103,9,89,6,172,67,77,2,91,88,110,0,0,5,1,162,32,53,178,22,101,1,14,226,25,259,9,69,93,7,151,1
Otu0005,2,40,85,110,57,89,9,78,3,98,71,25,64,64,53,21,73,32,6,59,21,22,36,5,14,90,10,16,4,103,70,40,57,43,0,12,62,6,8,73,0,101,3,5,132,65,17,61,71,94,45,100,34,56,4,45,15,104,14,55,96,79,17,8,76,20,50,84,11,38,56,69,10,56,25,9,45,19,37,26,7,63,100,70,26,30,9,5,19,9,23,8,18,78,78,81,66,39,49,13,52,85,4,22,44,6,0,0,0,47,13,72,5,83,36,45,47,37,42,43,51,24,29,41,70,16,3,74,5,138,40,11,183,2,11,81,25,71,17,81,10,57,42,27,24,29,47,101,1,0,58,8,53,59,4,35,49,90,3,9,39,8,44,35,41,61,38,65
Otu0006,3,7,0,97,62,63,9,22,1,19,5,17,18,0,191,78,55,43,17,50,17,10,32,36,30,14,27,41,15,31,0,59,45,117,17,10,77,61,26,14,193,1,89,59,73,41,32,165,25,45,58,31,91,107,43,77,133,16,53,5,4,56,51,21,54,16,159,185,38,49,252,11,75,61,41,112,13,35,2,22,16,14,1,17,65,92,10,9,73,47,13,73,8,10,114,16,50,32,25,100,142,123,0,26,71,10,9,50,38,31,14,76,25,34,88,66,78,37,10,35,16,290,58,4,59,41,56,6,11,0,4,75,13,23,65,17,5,3,41,11,26,76,50,2,42,17,30,1,4,11,39,27,17,5,1,24,6,9,2,28,3,10,1,0,7,1,7,0
Otu0007,44,17,0,16,6,25,4,26,26,15,1,8,21,0,28,25,10,22,7,21,19,24,10,39,12,12,13,34,7,18,0,38,41,28,16,16,20,31,29,0,20,18,38,37,34,9,68,17,47,49,23,49,47,7,1,7,4,9,8,9,5,26,43,30,9,1,18,8,35,11,51,10,36,51,21,27,28,14,6,3,4,15,0,4,40,10,17,13,7,14,31,56,22,4,13,10,15,21,14,32,19,17,29,15,10,18,85,31,36,57,36,13,10,10,23,8,19,27,5,14,36,41,47,15,16,36,12,25,27,23,2,16,6,2,11,5,4,13,35,7,19,8,45,2,8,11,3,12,505,13,22,5,7,2,35,19,16,37,5,6,1,32,2,9,11,12,20,0
Otu0008,1,13,0,8,15,41,5,16,18,4,55,12,8,0,33,4,30,14,5,2,3,9,15,2,5,13,21,40,10,12,17,103,7,89,5,7,46,24,1,9,14,1,25,79,53,16,11,18,3,8,13,31,58,85,1,16,7,16,14,20,4,2,12,9,41,6,41,46,26,25,50,21,24,37,34,9,15,8,3,8,6,11,1,9,62,30,23,6,16,7,42,11,35,0,61,40,11,27,16,41,9,87,5,44,9,14,33,18,20,81,18,43,17,10,124,16,45,27,12,2,15,80,98,31,23,34,24,19,4,7,4,3,21,2,22,16,10,44,15,12,5,15,20,4,18,8,11,0,0,1,3,10,12,6,16,24,11,2,11,9,28,45,15,0,3,20,6,5
Otu0009,349,5,15,11,13,8,53,29,7,1,1,19,7,20,26,31,8,14,13,16,113,14,7,198,26,12,47,33,5,16,1,6,18,9,29,12,3,8,19,11,27,21,64,0,42,11,15,20,13,14,14,20,2,2,9,17,14,6,59,17,4,27,50,26,9,1,134,16,28,4,13,11,17,4,80,109,14,8,2,15,110,5,0,31,22,5,63,329,2,32,33,42,19,9,31,15,25,12,6,3,21,13,153,47,19,37,35,5,28,16,2,16,50,22,6,9,9,47,19,2,53,12,18,18,21,51,9,13,50,10,14,35,55,101,103,2,7,9,12,17,3,21,13,2,12,6,43,61,26,174,17,22,28,3,25,16,13,50,12,6,1,5,5,9,5,10,1,0
