OTU,X9P246R1D4,X9P246R1Dm3,X9P247R1Dm3,X9P248R1Dm3,X9P249R1Dm3,X9P250R1D0,X9P250R1D4,X9P250R1Dm3,X9P251R1D7,X9P252R1Dm3,X9P253R1D7,X9P253R1Dm3,X9P254R1Dm3,X9P255R1D0,X9P255R1D7,X9P255R1Dm3,X9P257R1D0,X9P257R1D4,X9P257R1Dm3,X9P258R1D0,X9P258R1D4,X9P258R1Dm3,X9P259R1D0,X9P259R1D4,X9P259R1Dm3,X9P261R1D0,X9P261R1D7,X9P261R1Dm3,X9P262R1D7,X9P262R1Dm3,X9P263R1D0,X9P263R1D7,X9P263R1Dm3,X9P264R1D0,X9P264R1D7,X9P264R1Dm3,X9P265R1D0,X9P265R1D7,X9P265R1Dm3,X9P266R2D4,X9P266R2Dm3,X9P267R2D0,X9P267R2D4,X9P267R2Dm3,X9P268R2Dm3,X9P269R2D0,X9P269R2D4,X9P269R2Dm3,X9P270R2Dm3,X9P271R2D7,X9P271R2Dm3,X9P272R2D7,X9P272R2Dm3,X9P273R2D7,X9P273R2Dm3,X9P274R2D7,X9P274R2Dm3,X9P275R2D7,X9P275R2Dm3,X9P276R2Dm3,X9P277R2Dm3,X9P278R2D0,X9P278R2D4,X9P278R2Dm3,X9P279R2Dm3,X9P280R2D0,X9P280R2Dm3,X9P281R2D7,X9P281R2Dm3,X9P282R2D7,X9P282R2Dm3,X9P283R2D7,X9P283R2Dm3,X9P284R2D0,X9P284R2D7,X9P284R2Dm3,X9P285R2D7,X9P285R2Dm3,X9P286R3D0,X9P286R3D4,X9P286R3Dm3,X9P287R3Dm3,X9P288R3Dm3,X9P289R3D4,X9P289R3Dm3,X9P290R3D0,X9P290R3D4,X9P290R3Dm3,X9P291R3D0,X9P291R3D7,X9P291R3Dminus3,X9P292R3D7,X9P292R3Dm3,X9P293R3D0,X9P293R3D7,X9P293R3Dm3,X9P294R3D7,X9P294R3Dm3,X9P295R3D0,X9P295R3D7,X9P295R3Dm3,X9P296R3D0,X9P296R3D4,X9P296R3Dm3,X9P297R3D0,X9P297R3D4,X9P297R3Dminus3,X9P298R3D4,X9P299R3D0,X9P299R3D4,X9P299R3Dm3,X9P300R3D0,X9P300R3Dm3,X9P301R3D0,X9P301R3D7,X9P301R3Dm3,X9P302R3D0,X9P302R3D7,X9P302R3Dm3,X9P303R3D7,X9P303R3Dminus3,X9P304R3D0,X9P304R3D7,X9P304R3Dm3,X9P305R3D0,X9P305R3D7,X9P305R3Dm3,X9P306R4D4,X9P306R4Dm3,X9P307R4Dm3,X9P308R4D0,X9P308R4Dm3,X9P309R4D0,X9P309R4D4,X9P309R4Dminus3,X9P310R4D0,X9P310R4Dm3,X9P311R4D7,X9P311R4Dm3,X9P312R4D7,X9P312R4Dm3,X9P313R4D7,X9P313R4Dm3,X9P314R4D7,X9P315R4D7,X9P316R4D4,X9P316R4Dm3,X9P317R4D0,X9P317R4D4,X9P317R4Dm3,X9P318R4D4,X9P319R4D4,X9P319R4Dm3,X9P320R4D0,X9P320R4Dm3,X9P321R4D7,X9P321R4Dm3,X9P322R4D0,X9P322R4D7,X9P322R4Dm3,X9P323R4D7,X9P323R4Dm3,X9P324R4D0,X9P324R4D7,X9P324R4Dm3,X9P325R4D7,X9P325R4Dm3,Taxonomy
Otu0001,27,383,1,10,149,88,67,148,17,89,246,102,9,18,91,24,39,158,277,82,258,201,1,94,54,19,38,267,89,5,2,381,96,12,48,364,55,99,106,170,51,1,40,59,148,198,216,24,105,198,72,221,107,22,87,32,87,142,11,2,191,89,46,152,87,94,168,78,248,145,119,270,193,107,32,117,283,15,11,55,145,0,183,78,90,4,19,182,70,165,165,179,28,16,177,200,260,246,11,46,108,2,180,292,20,171,1,243,27,471,73,48,163,102,181,122,134,54,18,185,89,66,207,201,57,239,11,18,154,0,82,36,32,93,228,22,37,175,6,415,234,92,34,319,311,132,15,16,5,112,267,97,44,293,139,227,19,8,488,110,28,2,48,115,52,62,3,Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Megasphaera;
Otu0002,125,226,30,244,129,136,43,155,3,108,96,72,47,27,74,194,85,188,82,52,145,118,28,108,43,477,111,159,50,24,52,116,118,25,97,128,259,96,170,118,61,26,7,51,78,116,111,76,269,54,196,74,100,12,69,184,112,107,73,20,45,49,248,150,16,60,121,58,169,67,326,44,231,177,87,41,16,36,182,91,333,20,133,220,99,74,85,42,95,110,74,135,43,13,71,175,97,308,52,44,268,10,240,74,169,82,6,193,56,15,294,234,159,111,44,78,68,55,65,164,168,218,241,334,208,252,64,79,81,6,43,56,656,202,30,53,159,165,83,136,339,32,13,52,152,222,12,55,104,184,151,237,74,138,306,57,50,29,100,74,17,41,24,40,98,50,4,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella_9;
Otu0003,124,1,0,0,42,56,716,3,69,22,116,24,18,136,223,35,200,342,41,712,208,100,442,306,8,287,77,9,30,0,7,9,1,990,284,0,254,190,109,112,39,3,1,0,8,26,175,2,0,75,16,104,0,546,0,251,0,345,1,2,0,365,431,49,7,341,0,39,4,26,0,13,0,98,127,12,23,2,13,100,3,0,13,55,3,696,625,0,241,99,67,86,135,79,61,75,32,0,1,18,0,773,55,0,782,100,0,5,65,0,22,343,24,36,20,0,80,78,5,33,1,78,142,0,361,10,92,752,15,0,4,0,94,18,0,473,64,67,0,16,1,139,3,225,172,88,2,248,520,57,138,124,20,5,142,58,29,852,22,46,70,22,13,117,49,28,0,Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Veillonellaceae_unclassified;
Otu0004,27,142,0,11,36,106,19,29,272,39,101,76,6,11,77,39,41,36,28,8,67,75,37,58,49,51,84,74,224,3,91,109,70,25,119,67,21,59,50,165,35,4,275,5,82,0,48,0,58,26,0,91,76,17,5,38,33,103,22,1,1,1,68,34,14,4,140,135,8,76,24,113,55,1,33,0,157,2,12,47,86,5,2,38,62,6,25,24,16,135,10,49,11,49,86,21,121,25,6,15,40,0,124,36,7,175,153,221,104,182,23,9,75,38,96,44,28,97,28,55,36,79,90,32,35,45,7,60,2,1,55,2,14,124,0,88,17,95,9,162,65,87,6,102,123,124,0,2,1,0,190,43,49,154,29,106,0,19,196,34,231,6,67,99,5,138,1,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;
Otu0005,2,78,108,106,58,84,10,72,2,75,23,63,63,50,33,61,37,14,56,18,20,32,5,25,96,12,20,9,92,61,26,71,41,0,7,70,10,10,59,2,89,4,3,136,72,21,59,59,84,48,117,35,70,5,41,16,85,14,72,113,81,21,10,79,13,48,67,8,41,59,81,9,56,32,7,54,13,48,35,17,64,107,51,20,31,10,3,18,5,33,11,17,54,76,94,74,32,50,12,59,93,7,28,38,1,2,1,4,34,17,76,14,68,46,38,36,41,30,50,48,25,21,55,47,11,7,87,5,128,58,8,191,0,10,88,19,55,30,69,8,64,39,19,31,33,43,95,0,1,65,9,46,48,18,45,53,91,6,8,48,6,68,35,50,67,31,73,Bacteria;Firmicutes;Negativicutes;Selenomonadales;Acidaminococcaceae;Phascolarctobacterium;
Otu0006,2,10,0,112,69,52,7,26,1,6,22,16,2,176,60,57,47,20,50,13,11,28,39,31,12,35,51,5,24,0,46,49,91,26,4,85,73,24,20,167,3,78,55,70,35,31,160,30,34,40,24,82,100,33,66,123,24,48,9,11,60,71,28,54,9,156,181,33,56,227,16,76,53,53,107,15,34,2,23,10,19,0,19,61,89,10,10,87,51,17,74,8,7,118,7,44,23,23,88,148,124,0,34,69,17,12,40,45,29,14,64,27,32,94,64,107,33,18,37,13,283,78,7,39,31,50,9,9,0,1,72,12,22,47,18,4,1,39,8,29,97,87,5,38,19,28,0,5,12,34,23,21,8,3,26,2,10,1,32,4,10,3,0,6,1,4,0,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella_9;
Otu0007,33,12,0,12,9,38,1,24,28,7,9,21,2,21,32,17,20,10,20,12,24,8,25,10,13,7,32,6,24,0,52,39,35,18,17,9,34,18,0,23,13,40,21,38,13,57,19,47,49,14,47,35,12,1,1,6,11,7,8,0,23,38,31,10,1,22,12,37,11,68,12,26,51,26,33,24,12,13,4,12,17,0,7,42,10,8,11,11,12,47,54,25,4,16,20,7,24,10,21,25,9,25,12,25,16,91,32,43,60,44,17,6,9,20,6,27,18,6,13,31,28,46,15,18,57,10,27,30,17,3,13,3,2,14,11,9,16,29,4,18,9,42,2,6,10,4,17,504,9,18,11,4,7,29,27,15,24,4,6,0,35,0,10,13,6,14,0,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;
Otu0008,1,13,2,15,15,40,5,14,17,41,11,8,2,21,9,37,19,4,1,11,15,13,2,5,9,15,23,6,9,6,125,10,83,2,8,53,29,3,10,20,2,20,99,73,14,19,20,1,8,5,25,53,86,1,10,9,17,15,24,4,1,18,11,34,1,43,46,28,33,47,18,30,32,31,6,15,5,3,8,4,10,3,23,67,36,19,3,17,8,34,15,28,4,68,35,16,36,15,46,9,89,4,47,19,12,35,15,19,72,23,31,19,16,120,11,42,29,9,0,17,102,103,33,16,42,17,17,2,6,1,15,35,1,12,21,10,53,18,11,3,15,23,5,12,8,5,2,0,0,3,13,17,3,11,20,18,2,10,9,33,36,9,0,4,23,5,7,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Agathobacter;
Otu0009,353,7,18,10,27,5,69,20,6,1,10,12,12,36,24,18,12,13,19,118,24,5,211,22,11,58,32,1,15,1,3,18,11,29,13,4,11,14,11,31,13,57,0,36,14,21,20,9,14,9,18,1,7,12,23,17,9,63,7,2,14,39,39,12,2,144,17,37,4,14,10,15,3,85,100,27,13,2,16,111,6,1,28,17,0,64,315,4,36,36,43,23,9,28,10,38,12,0,6,10,13,156,45,14,30,24,4,32,18,1,21,62,18,8,15,12,39,25,2,45,6,12,16,20,50,13,15,49,6,17,35,51,107,118,3,6,9,17,15,1,9,15,2,5,4,37,53,19,171,14,20,25,2,31,23,13,51,14,7,4,3,6,6,6,6,6,0,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae_NK3B31_group;
Otu0010,5,11,0,2,4,26,35,14,26,2,28,0,3,58,14,7,7,12,2,2,9,5,3,6,5,7,24,2,10,0,61,28,4,8,52,11,8,6,6,51,12,10,55,1,2,22,15,8,23,73,2,29,4,0,1,24,3,18,4,3,4,5,2,1,0,9,6,81,6,23,5,104,7,15,64,2,9,11,10,1,0,0,9,18,6,4,0,0,10,41,3,15,0,58,47,0,32,5,98,115,3,0,43,5,2,59,139,43,38,30,4,1,3,39,58,12,2,26,0,50,10,27,25,1,11,33,0,8,2,0,11,1,1,18,2,9,3,6,0,17,2,19,2,8,2,2,2,1,14,4,5,4,1,54,8,6,2,1,11,1,21,1,1,9,3,1,0,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;
