"","baseMean","log2FoldChange","lfcSE","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","newp","Treatment","OTU","comp"
"Otu0078",495.930150604126,2.12653557498875,0.839821927520787,0.000874271135828495,0.0187968294203126,"Bacteria","Tenericutes","Mollicutes","Mollicutes_RF39",NA,NA,"1.9e-02","Depleted in INFinject","Otu0078","D14_INFnm_vs_INFinject"
"Otu0112",28.7993627047574,6.00466497915265,1.77132782515167,1.42280734367533e-05,0.000611807157780391,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales",NA,NA,"1.0e-03","Depleted in INFinject","Otu0112","D14_INFnm_vs_INFinject"
"Otu0038",499.467258380085,1.01269097657053,0.382504111914755,0.00189620312083556,0.027178911398643,"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales",NA,NA,"2.7e-02","Depleted in INFfeed","Otu0038","D14_INFfeed_vs_INFnm"
"Otu0092",19.958613422399,0.421451452409818,0.85850287134892,0.00307690757814962,0.0330767564651085,"Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_unclassified",NA,NA,"3.3e-02","Depleted in INFfeed","Otu0092","D14_INFfeed_vs_INFnm"
"Otu01121",28.7993627047574,4.74419797124787,2.51846232915943,4.02176444770282e-05,0.00172935871251221,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales",NA,NA,"2.0e-03","Depleted in INFfeed","Otu0112","D14_INFfeed_vs_INFnm"
"Otu0294",10.1932321591436,6.20753531689881,2.77242912409096,0.000907977316229387,0.0195215122989318,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,"2.0e-02","Depleted in INFfeed","Otu0294","D14_INFfeed_vs_INFnm"
