"","baseMean","log2FoldChange","lfcSE","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","newp","Treatment","OTU","comp"
"Otu00271",568.223326525795,3.0202303916529,0.830834529951143,1.10762294621808e-05,0.000564887702571219,"Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales",NA,NA,"1.0e-03","INFfeed","Otu0027","DNEG3_INFfeed_vs_NONINFnm"
"Otu00552",109.292430822046,0.997553571934107,0.346084951626257,0.000889979522578327,0.0113472389128737,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales",NA,NA,"1.1e-02","INFfeed","Otu0055","DNEG3_INFfeed_vs_NONINFnm"
"Otu03552",17.2752719449479,-0.689205079320978,0.94990284423103,0.000678977129933844,0.0113472389128737,"Bacteria","Kiritimatiellaeota","Kiritimatiellae","WCHB1-41",NA,NA,"1.1e-02","NONINFnm","Otu0355","DNEG3_INFfeed_vs_NONINFnm"
"Otu01124",22.9620025260225,7.21350519104442e-07,0.00144269510942458,0.00041440890372268,0.0174051739563525,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales",NA,NA,"1.7e-02","INFnm","Otu0112","D0_INFnm_vs_NONINFnm"
"Otu01125",22.9620025260225,6.97180072678344e-07,0.00144269510518917,8.25425975532271e-05,0.00346678909723554,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales",NA,NA,"3e-03","INFinject","Otu0112","D0_INFinject_vs_NONINFnm"
"Otu00042",945.976787321897,1.16477133542555,0.486971158042503,0.000906913928042989,0.0371834710497626,"Bacteria","Firmicutes","Bacilli","Lactobacillales",NA,NA,"3.7e-02","INFnm","Otu0004","D4_INFnm_vs_NONINFnm"
"Otu00043",945.976787321897,1.62442400147087,0.44635759026779,1.73503664845538e-05,0.000711365025866706,"Bacteria","Firmicutes","Bacilli","Lactobacillales",NA,NA,"1e-03","INFinject","Otu0004","D4_INFinject_vs_NONINFnm"
"Otu01129",21.0648302977112,6.00425519369011,2.0771765514264,2.24910100941531e-05,0.0011020594946135,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales",NA,NA,"1e-03","INFnm","Otu0112","D7_INFnm_vs_NONINFnm"
"Otu00781",561.807894271108,-2.30304220408112,0.915141665532197,0.000469215066600302,0.0114957691317074,"Bacteria","Tenericutes","Mollicutes","Mollicutes_RF39",NA,NA,"1.1e-02","NONINFnm","Otu0078","D7_INFinject_vs_NONINFnm"
"Otu02942",8.19734289848326,4.75040705486478,1.55063505553019,5.781173190158e-05,0.00283277486317742,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,"3.0e-03","INFinject","Otu0294","D7_INFinject_vs_NONINFnm"
