"","group","Day","Pig","Treatment","Sample.type","All","Order","value","value2"
"548","X9P267R2Dm3","DNEG3","P267","INFfeed","Fecal Swab","DNEG3_INFfeed","Clostridiales",0.1459,0.7297
"549","X9P263R1Dm3","DNEG3","P263","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Selenomonadales",0.1288,0.7153
"550","X9P267R2D4","D4","P267","INFfeed","Fecal or Fecal swab","D4_INFfeed","Erysipelotrichales",0.0285,0.7121
"551","X9P261R1D7","D7","P261","NONINFnm","Fecal","D7_NONINFnm","Mollicutes_RF39",0.0564,0.7052
"552","X9P280R2Dm3","DNEG3","P280","INFfeed","Fecal Swab","DNEG3_INFfeed","Clostridiales",0.141,0.7049
"553","X9P302R3D7","D7","P302","INFinject","Fecal","D7_INFinject","Lactobacillales",0.0704,0.7043
"554","X9P289R3Dm3","DNEG3","P289","INFinject","Fecal Swab","DNEG3_INFinject","Selenomonadales",0.1188,0.699
"555","X9P269R2D0","D0","P269","INFfeed","Fecal or Fecal swab","D0_INFfeed","Erysipelotrichales",0.0339,0.6774
"556","X9P281R2Dm3","DNEG3","P281","INFfeed","Fecal Swab","DNEG3_INFfeed","Clostridiales",0.135,0.6752
"557","X9P269R2D0","D0","P269","INFfeed","Fecal or Fecal swab","D0_INFfeed","Bacteria_unclassified",0.0331,0.662
"558","X9P325R4Dm3","DNEG3","P325","INFnm","Fecal Swab","DNEG3_INFnm","Spirochaetales",0.1122,0.6602
"559","X9P259R1Dm3","DNEG3","P259","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Lactobacillales",0.1185,0.6581
"560","X9P255R1Dm3","DNEG3","P255","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Selenomonadales",0.118,0.6554
"561","X9P286R3Dm3","DNEG3","P286","INFinject","Fecal Swab","DNEG3_INFinject","Lactobacillales",0.111,0.6531
"562","X9P313R4Dm3","DNEG3","P313","INFnm","Fecal Swab","DNEG3_INFnm","Clostridiales",0.1103,0.6491
"563","X9P320R4Dm3","DNEG3","P320","INFnm","Fecal Swab","DNEG3_INFnm","Clostridiales",0.1103,0.6486
"564","X9P304R3D0","D0","P304","INFinject","Fecal or Fecal swab","D0_INFinject","Lactobacillales",0.0838,0.645
"565","X9P265R1D7","D7","P265","NONINFnm","Fecal","D7_NONINFnm","Lactobacillales",0.0516,0.6447
"566","X9P304R3Dm3","DNEG3","P304","INFinject","Fecal Swab","DNEG3_INFinject","Clostridiales",0.1094,0.6435
"567","X9P324R4D0","D0","P324","INFnm","Fecal or Fecal swab","D0_INFnm","Mollicutes_RF39",0.0449,0.6418
"568","X9P289R3Dm3","DNEG3","P289","INFinject","Fecal Swab","DNEG3_INFinject","Lactobacillales",0.1088,0.64
"569","X9P321R4Dm3","DNEG3","P321","INFnm","Fecal Swab","DNEG3_INFnm","Spirochaetales",0.1088,0.6399
"570","X9P286R3D4","D4","P286","INFinject","Fecal or Fecal swab","D4_INFinject","Mollicutes_RF39",0.0446,0.6374
"571","X9P266R2Dm3","DNEG3","P266","INFfeed","Fecal Swab","DNEG3_INFfeed","Campylobacterales",0.127,0.6351
"572","X9P319R4D4","D4","P319","INFnm","Fecal or Fecal swab","D4_INFnm","Mollicutes_RF39",0.0378,0.6306
"573","X9P262R1Dm3","DNEG3","P262","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Selenomonadales",0.1121,0.6225
"574","X9P313R4Dm3","DNEG3","P313","INFnm","Fecal Swab","DNEG3_INFnm","Deferribacterales",0.1057,0.6218
