"","group","Day","Pig","Treatment","Sample.type","All","Order","value","value2"
"1","X9P250R1D4","D4","P250","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Selenomonadales",0.6232,12.4633
"2","X9P267R2D0","D0","P267","INFfeed","Fecal or Fecal swab","D0_INFfeed","Clostridiales",0.5679,11.358
"3","X9P278R2D4","D4","P278","INFfeed","Fecal or Fecal swab","D4_INFfeed","Selenomonadales",0.4303,10.7583
"4","X9P306R4D4","D4","P306","INFnm","Fecal or Fecal swab","D4_INFnm","Selenomonadales",0.6074,10.1232
"5","X9P322R4D0","D0","P322","INFnm","Fecal or Fecal swab","D0_INFnm","Selenomonadales",0.6872,9.8173
"6","X9P246R1D4","D4","P246","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Bacteroidales",0.4803,9.6068
"7","X9P309R4D0","D0","P309","INFnm","Fecal or Fecal swab","D0_INFnm","Bacteroidales",0.6705,9.5788
"8","X9P317R4D0","D0","P317","INFnm","Fecal or Fecal swab","D0_INFnm","Clostridiales",0.6279,8.9698
"9","X9P264R1D0","D0","P264","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Selenomonadales",0.7929,8.8102
"10","X9P267R2D4","D4","P267","INFfeed","Fecal or Fecal swab","D4_INFfeed","Lactobacillales",0.3464,8.6605
"11","X9P317R4D4","D4","P317","INFnm","Fecal or Fecal swab","D4_INFnm","Selenomonadales",0.5154,8.5905
"12","X9P280R2D0","D0","P280","INFfeed","Fecal or Fecal swab","D0_INFfeed","Selenomonadales",0.4291,8.5824
"13","X9P269R2D4","D4","P269","INFfeed","Fecal or Fecal swab","D4_INFfeed","Selenomonadales",0.3432,8.5809
"14","X9P257R1D4","D4","P257","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Selenomonadales",0.426,8.5208
"15","X9P267R2D4","D4","P267","INFfeed","Fecal or Fecal swab","D4_INFfeed","Clostridiales",0.3403,8.5065
"16","X9P258R1D4","D4","P258","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Selenomonadales",0.4211,8.4219
"17","X9P284R2D0","D0","P284","INFfeed","Fecal or Fecal swab","D0_INFfeed","Bacteroidales",0.4142,8.2833
"18","X9P278R2D0","D0","P278","INFfeed","Fecal or Fecal swab","D0_INFfeed","Selenomonadales",0.4063,8.1264
"19","X9P269R2D4","D4","P269","INFfeed","Fecal or Fecal swab","D4_INFfeed","Bacteroidales",0.3237,8.0923
"20","X9P309R4D4","D4","P309","INFnm","Fecal or Fecal swab","D4_INFnm","Bacteroidales",0.4495,7.4916
"21","X9P280R2D0","D0","P280","INFfeed","Fecal or Fecal swab","D0_INFfeed","Bacteroidales",0.3744,7.4884
"22","X9P266R2D4","D4","P266","INFfeed","Fecal or Fecal swab","D4_INFfeed","Bacteroidales",0.2856,7.1401
"23","X9P258R1D0","D0","P258","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Selenomonadales",0.6346,7.0513
"24","X9P290R3D4","D4","P290","INFinject","Fecal or Fecal swab","D4_INFinject","Selenomonadales",0.4873,6.9614
"25","X9P316R4D4","D4","P316","INFnm","Fecal or Fecal swab","D4_INFnm","Bacteroidales",0.4104,6.8399
"26","X9P266R2D4","D4","P266","INFfeed","Fecal or Fecal swab","D4_INFfeed","Selenomonadales",0.2725,6.8129
"27","X9P259R1D4","D4","P259","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Selenomonadales",0.3398,6.7951
"28","X9P289R3D4","D4","P289","INFinject","Fecal or Fecal swab","D4_INFinject","Bacteroidales",0.4726,6.7512
"29","X9P269R2D0","D0","P269","INFfeed","Fecal or Fecal swab","D0_INFfeed","Clostridiales",0.331,6.6205
"30","X9P278R2D4","D4","P278","INFfeed","Fecal or Fecal swab","D4_INFfeed","Bacteroidales",0.2602,6.505
"31","X9P246R1D4","D4","P246","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Clostridiales",0.32,6.3994
"32","X9P286R3D4","D4","P286","INFinject","Fecal or Fecal swab","D4_INFinject","Clostridiales",0.4454,6.3626
"33","X9P284R2D0","D0","P284","INFfeed","Fecal or Fecal swab","D0_INFfeed","Clostridiales",0.3172,6.3433
"34","X9P319R4D4","D4","P319","INFnm","Fecal or Fecal swab","D4_INFnm","Bacteroidales",0.3792,6.3192
"35","X9P299R3D4","D4","P299","INFinject","Fecal or Fecal swab","D4_INFinject","Selenomonadales",0.4311,6.1586
"36","X9P310R4D0","D0","P310","INFnm","Fecal or Fecal swab","D0_INFnm","Selenomonadales",0.4222,6.0313
"37","X9P259R1D4","D4","P259","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Clostridiales",0.2997,5.9938
"38","X9P266R2D4","D4","P266","INFfeed","Fecal or Fecal swab","D4_INFfeed","Clostridiales",0.2386,5.9661
"39","X9P269R2D0","D0","P269","INFfeed","Fecal or Fecal swab","D0_INFfeed","Bacteroidales",0.2979,5.9584
"40","X9P261R1D0","D0","P261","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Bacteroidales",0.5259,5.843
"41","X9P278R2D0","D0","P278","INFfeed","Fecal or Fecal swab","D0_INFfeed","Clostridiales",0.2845,5.6901
"42","X9P318R4D4","D4","P318","INFnm","Fecal or Fecal swab","D4_INFnm","Selenomonadales",0.3387,5.6456
"43","X9P314R4D7","D7","P314","INFnm","Fecal","D7_INFnm","Selenomonadales",0.5633,5.6327
"44","X9P261R1D7","D7","P261","NONINFnm","Fecal","D7_NONINFnm","Clostridiales",0.425,5.313
"45","X9P251R1D7","D7","P251","NONINFnm","Fecal","D7_NONINFnm","Clostridiales",0.423,5.2881
"46","X9P257R1D4","D4","P257","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Bacteroidales",0.2589,5.1772
"47","X9P290R3D4","D4","P290","INFinject","Fecal or Fecal swab","D4_INFinject","Bacteroidales",0.3564,5.0918
"48","X9P315R4D7","D7","P315","INFnm","Fecal","D7_INFnm","Selenomonadales",0.5062,5.0615
"49","X9P324R4D0","D0","P324","INFnm","Fecal or Fecal swab","D0_INFnm","Clostridiales",0.3532,5.0459
"50","X9P296R3D4","D4","P296","INFinject","Fecal or Fecal swab","D4_INFinject","Bacteroidales",0.3512,5.0166
"51","X9P253R1D7","D7","P253","NONINFnm","Fecal","D7_NONINFnm","Selenomonadales",0.4008,5.0097
"52","X9P263R1D7","D7","P263","NONINFnm","Fecal","D7_NONINFnm","Selenomonadales",0.3954,4.9423
"53","X9P265R1D0","D0","P265","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Bacteroidales",0.4438,4.9316
"54","X9P258R1D4","D4","P258","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Bacteroidales",0.2425,4.8499
"55","X9P324R4D0","D0","P324","INFnm","Fecal or Fecal swab","D0_INFnm","Bacteroidales",0.3393,4.8467
"56","X9P259R1D4","D4","P259","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Bacteroidales",0.2396,4.792
"57","X9P258R1D4","D4","P258","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Clostridiales",0.2394,4.7883
"58","X9P257R1D0","D0","P257","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Clostridiales",0.4194,4.6598
"59","X9P296R3D0","D0","P296","INFinject","Fecal or Fecal swab","D0_INFinject","Selenomonadales",0.6055,4.6581
"60","X9P308R4D0","D0","P308","INFnm","Fecal or Fecal swab","D0_INFnm","Clostridiales",0.3255,4.6506
"61","X9P319R4D4","D4","P319","INFnm","Fecal or Fecal swab","D4_INFnm","Clostridiales",0.2772,4.6203
"62","X9P297R3D0","D0","P297","INFinject","Fecal or Fecal swab","D0_INFinject","Selenomonadales",0.6002,4.6166
"63","X9P297R3D4","D4","P297","INFinject","Fecal or Fecal swab","D4_INFinject","Clostridiales",0.322,4.6001
"64","X9P269R2D4","D4","P269","INFfeed","Fecal or Fecal swab","D4_INFfeed","Clostridiales",0.1837,4.5934
"65","X9P263R1D0","D0","P263","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Clostridiales",0.4108,4.5646
"66","X9P273R2D7","D7","P273","INFfeed","Fecal","D7_INFfeed","Selenomonadales",0.4518,4.5181
"67","X9P322R4D7","D7","P322","INFnm","Fecal","D7_INFnm","Selenomonadales",0.4496,4.4958
"68","X9P255R1D0","D0","P255","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Clostridiales",0.4023,4.4701
"69","X9P312R4D7","D7","P312","INFnm","Fecal","D7_INFnm","Selenomonadales",0.4414,4.4136
"70","X9P259R1D0","D0","P259","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Selenomonadales",0.3954,4.393
"71","X9P267R2D0","D0","P267","INFfeed","Fecal or Fecal swab","D0_INFfeed","Bacteroidales",0.2191,4.3827
"72","X9P257R1D4","D4","P257","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Clostridiales",0.218,4.3606
"73","X9P317R4D4","D4","P317","INFnm","Fecal or Fecal swab","D4_INFnm","Bacteroidales",0.2546,4.2438
"74","X9P320R4D0","D0","P320","INFnm","Fecal or Fecal swab","D0_INFnm","Bacteroidales",0.2964,4.234
"75","X9P278R2D0","D0","P278","INFfeed","Fecal or Fecal swab","D0_INFfeed","Bacteroidales",0.2105,4.2097
"76","X9P290R3D0","D0","P290","INFinject","Fecal or Fecal swab","D0_INFinject","Selenomonadales",0.5471,4.2082
"77","X9P318R4D4","D4","P318","INFnm","Fecal or Fecal swab","D4_INFnm","Bacteroidales",0.2508,4.1795
"78","X9P264R1D7","D7","P264","NONINFnm","Fecal","D7_NONINFnm","Clostridiales",0.3341,4.1763
"79","X9P316R4D4","D4","P316","INFnm","Fecal or Fecal swab","D4_INFnm","Selenomonadales",0.2483,4.1376
"80","X9P284R2D0","D0","P284","INFfeed","Fecal or Fecal swab","D0_INFfeed","Selenomonadales",0.2025,4.0493
"81","X9P323R4D7","D7","P323","INFnm","Fecal","D7_INFnm","Clostridiales",0.4034,4.034
"82","X9P275R2D7","D7","P275","INFfeed","Fecal or Fecal swab","D7_INFfeed","Selenomonadales",0.3998,3.9984
"83","X9P266R2D4","D4","P266","INFfeed","Fecal or Fecal swab","D4_INFfeed","Lactobacillales",0.1594,3.9838
"84","X9P320R4D0","D0","P320","INFnm","Fecal or Fecal swab","D0_INFnm","Clostridiales",0.2779,3.9701
"85","X9P319R4D4","D4","P319","INFnm","Fecal or Fecal swab","D4_INFnm","Selenomonadales",0.2355,3.9254
"86","X9P274R2D7","D7","P274","INFfeed","Fecal or Fecal swab","D7_INFfeed","Bacteroidales",0.3907,3.9073
"87","X9P284R2D7","D7","P284","INFfeed","Fecal","D7_INFfeed","Bacteroidales",0.3867,3.8675
"88","X9P255R1D7","D7","P255","NONINFnm","Fecal","D7_NONINFnm","Selenomonadales",0.3089,3.8617
"89","X9P295R3D7","D7","P295","INFinject","Fecal","D7_INFinject","Clostridiales",0.3855,3.8551
"90","X9P309R4D4","D4","P309","INFnm","Fecal or Fecal swab","D4_INFnm","Clostridiales",0.2305,3.8422
"91","X9P265R1D0","D0","P265","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Selenomonadales",0.3446,3.8291
"92","X9P264R1D7","D7","P264","NONINFnm","Fecal","D7_NONINFnm","Selenomonadales",0.3048,3.8098
"93","X9P269R2D0","D0","P269","INFfeed","Fecal or Fecal swab","D0_INFfeed","Selenomonadales",0.1901,3.8029
"94","X9P297R3D4","D4","P297","INFinject","Fecal or Fecal swab","D4_INFinject","Lactobacillales",0.2656,3.7948
"95","X9P318R4D4","D4","P318","INFnm","Fecal or Fecal swab","D4_INFnm","Clostridiales",0.2269,3.7809
"96","X9P298R3D4","D4","P298","INFinject","Fecal or Fecal swab","D4_INFinject","Selenomonadales",0.2639,3.7698
"97","X9P299R3D4","D4","P299","INFinject","Fecal or Fecal swab","D4_INFinject","Lactobacillales",0.2625,3.7501
"98","X9P298R3D4","D4","P298","INFinject","Fecal or Fecal swab","D4_INFinject","Lactobacillales",0.2593,3.7037
"99","X9P250R1D0","D0","P250","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Bacteroidales",0.3331,3.7009
"100","X9P283R2D7","D7","P283","INFfeed","Fecal","D7_INFfeed","Clostridiales",0.3659,3.6595
"101","X9P278R2D4","D4","P278","INFfeed","Fecal or Fecal swab","D4_INFfeed","Clostridiales",0.1463,3.6567
"102","X9P251R1D7","D7","P251","NONINFnm","Fecal","D7_NONINFnm","Lactobacillales",0.2908,3.635
"103","X9P281R2D7","D7","P281","INFfeed","Fecal","D7_INFfeed","Clostridiales",0.3603,3.6028
"104","X9P255R1D0","D0","P255","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Bacteroidales",0.3215,3.5726
"105","X9P286R3D4","D4","P286","INFinject","Fecal or Fecal swab","D4_INFinject","Bacteroidales",0.2492,3.5604
"106","X9P320R4D0","D0","P320","INFnm","Fecal or Fecal swab","D0_INFnm","Selenomonadales",0.2479,3.5412
"107","X9P298R3D4","D4","P298","INFinject","Fecal or Fecal swab","D4_INFinject","Bacteroidales",0.2477,3.5384
"108","X9P302R3D7","D7","P302","INFinject","Fecal","D7_INFinject","Clostridiales",0.3537,3.5372
"109","X9P265R1D7","D7","P265","NONINFnm","Fecal","D7_NONINFnm","Bacteroidales",0.2818,3.5219
"110","X9P262R1D7","D7","P262","NONINFnm","Fecal","D7_NONINFnm","Clostridiales",0.2818,3.5219
"111","X9P311R4D7","D7","P311","INFnm","Fecal","D7_INFnm","Bacteroidales",0.3495,3.4949
"112","X9P304R3D7","D7","P304","INFinject","Fecal","D7_INFinject","Selenomonadales",0.349,3.49
"113","X9P265R1D7","D7","P265","NONINFnm","Fecal","D7_NONINFnm","Clostridiales",0.2779,3.4738
"114","X9P293R3D0","D0","P293","INFinject","Fecal or Fecal swab","D0_INFinject","Clostridiales",0.4487,3.4518
"115","X9P289R3D4","D4","P289","INFinject","Fecal or Fecal swab","D4_INFinject","Clostridiales",0.2409,3.4418
"116","X9P282R2D7","D7","P282","INFfeed","Fecal","D7_INFfeed","Bacteroidales",0.3441,3.4411
"117","X9P286R3D0","D0","P286","INFinject","Fecal or Fecal swab","D0_INFinject","Clostridiales",0.4464,3.434
"118","X9P300R3D0","D0","P300","INFinject","Fecal or Fecal swab","D0_INFinject","Bacteroidales",0.4462,3.432
"119","X9P261R1D7","D7","P261","NONINFnm","Fecal","D7_NONINFnm","Bacteroidales",0.2743,3.4293
"120","X9P265R1D7","D7","P265","NONINFnm","Fecal","D7_NONINFnm","Selenomonadales",0.2741,3.4257
"121","X9P259R1D0","D0","P259","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Bacteroidales",0.3081,3.4234
"122","X9P271R2D7","D7","P271","INFfeed","Fecal","D7_INFfeed","Clostridiales",0.3392,3.3924
"123","X9P321R4D7","D7","P321","INFnm","Fecal","D7_INFnm","Bacteroidales",0.3362,3.3616
"124","X9P310R4D0","D0","P310","INFnm","Fecal or Fecal swab","D0_INFnm","Clostridiales",0.235,3.3568
"125","X9P255R1D7","D7","P255","NONINFnm","Fecal","D7_NONINFnm","Clostridiales",0.2666,3.332
"126","X9P297R3D4","D4","P297","INFinject","Fecal or Fecal swab","D4_INFinject","Selenomonadales",0.2332,3.3315
"127","X9P304R3D7","D7","P304","INFinject","Fecal","D7_INFinject","Bacteroidales",0.332,3.3205
"128","X9P308R4D0","D0","P308","INFnm","Fecal or Fecal swab","D0_INFnm","Bacteroidales",0.2266,3.2377
"129","X9P293R3D7","D7","P293","INFinject","Fecal","D7_INFinject","Selenomonadales",0.3225,3.2253
"130","X9P299R3Dm3","DNEG3","P299","INFinject","Fecal Swab","DNEG3_INFinject","Bacteroidales",0.5482,3.2246
"131","X9P296R3D4","D4","P296","INFinject","Fecal or Fecal swab","D4_INFinject","Selenomonadales",0.2256,3.2226
"132","X9P272R2D7","D7","P272","INFfeed","Fecal","D7_INFfeed","Selenomonadales",0.3218,3.2176
"133","X9P255R1D7","D7","P255","NONINFnm","Fecal","D7_NONINFnm","Bacteroidales",0.2565,3.2069
"134","X9P248R1Dm3","DNEG3","P248","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Bacteroidales",0.5751,3.1948
"135","X9P303R3D7","D7","P303","INFinject","Fecal or Fecal swab","D7_INFinject","Bacteroidales",0.3192,3.192
"136","X9P291R3D7","D7","P291","INFinject","Fecal or Fecal swab","D7_INFinject","Selenomonadales",0.3182,3.1818
"137","X9P250R1D4","D4","P250","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Clostridiales",0.1591,3.1815
"138","X9P305R3D7","D7","P305","INFinject","Fecal","D7_INFinject","Bacteroidales",0.3151,3.151
"139","X9P292R3D7","D7","P292","INFinject","Fecal","D7_INFinject","Selenomonadales",0.3138,3.1376
"140","X9P253R1D7","D7","P253","NONINFnm","Fecal","D7_NONINFnm","Clostridiales",0.251,3.1371
"141","X9P286R3D0","D0","P286","INFinject","Fecal or Fecal swab","D0_INFinject","Bacteroidales",0.4063,3.1256
"142","X9P292R3D7","D7","P292","INFinject","Fecal","D7_INFinject","Clostridiales",0.3083,3.0835
"143","X9P322R4Dm3","DNEG3","P322","INFnm","Fecal Swab","DNEG3_INFnm","Bacteroidales",0.5236,3.0799
"144","X9P285R2D7","D7","P285","INFfeed","Fecal","D7_INFfeed","Lactobacillales",0.3048,3.0485
"145","X9P304R3D0","D0","P304","INFinject","Fecal or Fecal swab","D0_INFinject","Bacteroidales",0.3962,3.0473
"146","X9P313R4D7","D7","P313","INFnm","Fecal","D7_INFnm","Selenomonadales",0.3046,3.0462
"147","X9P295R3Dm3","DNEG3","P295","INFinject","Fecal Swab","DNEG3_INFinject","Bacteroidales",0.5158,3.034
"148","X9P294R3D7","D7","P294","INFinject","Fecal","D7_INFinject","Selenomonadales",0.3022,3.0216
"149","X9P305R3D0","D0","P305","INFinject","Fecal or Fecal swab","D0_INFinject","Selenomonadales",0.3923,3.0178
"150","X9P321R4D7","D7","P321","INFnm","Fecal","D7_INFnm","Selenomonadales",0.3015,3.0146
"151","X9P304R3Dm3","DNEG3","P304","INFinject","Fecal Swab","DNEG3_INFinject","Bacteroidales",0.5069,2.982
"152","X9P299R3D0","D0","P299","INFinject","Fecal or Fecal swab","D0_INFinject","Clostridiales",0.3847,2.9595
"153","X9P293R3D7","D7","P293","INFinject","Fecal","D7_INFinject","Clostridiales",0.2955,2.9552
"154","X9P312R4Dm3","DNEG3","P312","INFnm","Fecal Swab","DNEG3_INFnm","Bacteroidales",0.5023,2.9548
"155","X9P280R2D0","D0","P280","INFfeed","Fecal or Fecal swab","D0_INFfeed","Clostridiales",0.1464,2.9276
"156","X9P296R3D4","D4","P296","INFinject","Fecal or Fecal swab","D4_INFinject","Clostridiales",0.2047,2.9236
"157","X9P317R4D0","D0","P317","INFnm","Fecal or Fecal swab","D0_INFnm","Selenomonadales",0.2034,2.9056
"158","X9P301R3D0","D0","P301","INFinject","Fecal or Fecal swab","D0_INFinject","Bacteroidales",0.3767,2.8979
"159","X9P261R1D0","D0","P261","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Selenomonadales",0.2602,2.8915
"160","X9P275R2D7","D7","P275","INFfeed","Fecal or Fecal swab","D7_INFfeed","Bacteroidales",0.2888,2.8882
"161","X9P246R1D4","D4","P246","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Selenomonadales",0.1442,2.8836
"162","X9P324R4D7","D7","P324","INFnm","Fecal","D7_INFnm","Selenomonadales",0.2883,2.8825
"163","X9P301R3D7","D7","P301","INFinject","Fecal","D7_INFinject","Clostridiales",0.2874,2.8737
"164","X9P250R1D4","D4","P250","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Bacteroidales",0.1436,2.8726
"165","X9P313R4Dm3","DNEG3","P313","INFnm","Fecal Swab","DNEG3_INFnm","Spirochaetales",0.4853,2.8549
"166","X9P303R3D7","D7","P303","INFinject","Fecal or Fecal swab","D7_INFinject","Selenomonadales",0.2853,2.8527
"167","X9P273R2D7","D7","P273","INFfeed","Fecal","D7_INFfeed","Clostridiales",0.2853,2.8527
"168","X9P289R3Dm3","DNEG3","P289","INFinject","Fecal Swab","DNEG3_INFinject","Bacteroidales",0.4823,2.8368
"169","X9P294R3Dm3","DNEG3","P294","INFinject","Fecal Swab","DNEG3_INFinject","Bacteroidales",0.4815,2.8324
"170","X9P324R4Dm3","DNEG3","P324","INFnm","Fecal Swab","DNEG3_INFnm","Bacteroidales",0.4814,2.8319
"171","X9P298R3D4","D4","P298","INFinject","Fecal or Fecal swab","D4_INFinject","Clostridiales",0.1975,2.8219
"172","X9P310R4D0","D0","P310","INFnm","Fecal or Fecal swab","D0_INFnm","Bacteroidales",0.1972,2.8175
"173","X9P284R2D7","D7","P284","INFfeed","Fecal","D7_INFfeed","Clostridiales",0.2804,2.8043
"174","X9P293R3Dm3","DNEG3","P293","INFinject","Fecal Swab","DNEG3_INFinject","Bacteroidales",0.4762,2.8009
"175","X9P262R1D7","D7","P262","NONINFnm","Fecal","D7_NONINFnm","Selenomonadales",0.224,2.8002
"176","X9P295R3D0","D0","P295","INFinject","Fecal or Fecal swab","D0_INFinject","Clostridiales",0.3634,2.7956
"177","X9P317R4Dm3","DNEG3","P317","INFnm","Fecal Swab","DNEG3_INFnm","Bacteroidales",0.4742,2.7892
"178","X9P325R4D7","D7","P325","INFnm","Fecal","D7_INFnm","Bacteroidales",0.277,2.7704
"179","X9P313R4D7","D7","P313","INFnm","Fecal","D7_INFnm","Bacteroidales",0.2769,2.7692
"180","X9P316R4Dm3","DNEG3","P316","INFnm","Fecal Swab","DNEG3_INFnm","Bacteroidales",0.4695,2.7618
"181","X9P301R3D7","D7","P301","INFinject","Fecal","D7_INFinject","Selenomonadales",0.2758,2.7581
"182","X9P323R4Dm3","DNEG3","P323","INFnm","Fecal Swab","DNEG3_INFnm","Bacteroidales",0.4687,2.7572
"183","X9P291R3D7","D7","P291","INFinject","Fecal or Fecal swab","D7_INFinject","Clostridiales",0.275,2.7504
"184","X9P301R3Dm3","DNEG3","P301","INFinject","Fecal Swab","DNEG3_INFinject","Bacteroidales",0.4661,2.7418
"185","X9P291R3D0","D0","P291","INFinject","Fecal or Fecal swab","D0_INFinject","Clostridiales",0.3559,2.7379
"186","X9P313R4D7","D7","P313","INFnm","Fecal","D7_INFnm","Clostridiales",0.2731,2.7308
"187","X9P272R2D7","D7","P272","INFfeed","Fecal","D7_INFfeed","Bacteroidales",0.2724,2.7238
"188","X9P305R3Dm3","DNEG3","P305","INFinject","Fecal Swab","DNEG3_INFinject","Bacteroidales",0.4592,2.701
"189","X9P257R1D0","D0","P257","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Selenomonadales",0.2426,2.696
"190","X9P286R3Dm3","DNEG3","P286","INFinject","Fecal Swab","DNEG3_INFinject","Bacteroidales",0.4564,2.6849
"191","X9P263R1D7","D7","P263","NONINFnm","Fecal","D7_NONINFnm","Bacteroidales",0.2123,2.6538
"192","X9P295R3D7","D7","P295","INFinject","Fecal","D7_INFinject","Bacteroidales",0.2645,2.6446
"193","X9P319R4Dm3","DNEG3","P319","INFnm","Fecal Swab","DNEG3_INFnm","Bacteroidales",0.4489,2.6407
"194","X9P305R3D0","D0","P305","INFinject","Fecal or Fecal swab","D0_INFinject","Bacteroidales",0.3423,2.6331
"195","X9P271R2D7","D7","P271","INFfeed","Fecal","D7_INFfeed","Selenomonadales",0.2629,2.6291
"196","X9P262R1D7","D7","P262","NONINFnm","Fecal","D7_NONINFnm","Lactobacillales",0.2071,2.5885
"197","X9P308R4D0","D0","P308","INFnm","Fecal or Fecal swab","D0_INFnm","Lactobacillales",0.1807,2.5812
"198","X9P276R2Dm3","DNEG3","P276","INFfeed","Fecal Swab","DNEG3_INFfeed","Bacteroidales",0.5148,2.5738
"199","X9P274R2D7","D7","P274","INFfeed","Fecal or Fecal swab","D7_INFfeed","Selenomonadales",0.2571,2.5714
"200","X9P310R4Dm3","DNEG3","P310","INFnm","Fecal Swab","DNEG3_INFnm","Bacteroidales",0.4371,2.571
"201","X9P272R2D7","D7","P272","INFfeed","Fecal","D7_INFfeed","Clostridiales",0.2569,2.5694
"202","X9P325R4D7","D7","P325","INFnm","Fecal","D7_INFnm","Clostridiales",0.2568,2.5681
"203","X9P292R3D7","D7","P292","INFinject","Fecal","D7_INFinject","Bacteroidales",0.2566,2.5657
"204","X9P282R2D7","D7","P282","INFfeed","Fecal","D7_INFfeed","Selenomonadales",0.2564,2.5635
"205","X9P246R1Dm3","DNEG3","P246","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Selenomonadales",0.4614,2.5634
"206","X9P305R3D7","D7","P305","INFinject","Fecal","D7_INFinject","Clostridiales",0.2542,2.5424
"207","X9P257R1D0","D0","P257","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Bacteroidales",0.2287,2.5409
"208","X9P281R2D7","D7","P281","INFfeed","Fecal","D7_INFfeed","Bacteroidales",0.254,2.5404
"209","X9P267R2D0","D0","P267","INFfeed","Fecal or Fecal swab","D0_INFfeed","Lactobacillales",0.1265,2.5309
"210","X9P262R1D7","D7","P262","NONINFnm","Fecal","D7_NONINFnm","Bacteroidales",0.2017,2.5212
"211","X9P322R4D0","D0","P322","INFnm","Fecal or Fecal swab","D0_INFnm","Bacteroidales",0.1764,2.5204
"212","X9P285R2D7","D7","P285","INFfeed","Fecal","D7_INFfeed","Selenomonadales",0.2517,2.5173
"213","X9P285R2D7","D7","P285","INFfeed","Fecal","D7_INFfeed","Clostridiales",0.2517,2.5173
"214","X9P295R3D0","D0","P295","INFinject","Fecal or Fecal swab","D0_INFinject","Lactobacillales",0.3256,2.5047
"215","X9P294R3D7","D7","P294","INFinject","Fecal","D7_INFinject","Clostridiales",0.2488,2.4884
"216","X9P253R1D7","D7","P253","NONINFnm","Fecal","D7_NONINFnm","Bacteroidales",0.1985,2.4807
"217","X9P274R2D7","D7","P274","INFfeed","Fecal or Fecal swab","D7_INFfeed","Clostridiales",0.2479,2.4788
"218","X9P320R4Dm3","DNEG3","P320","INFnm","Fecal Swab","DNEG3_INFnm","Bacteroidales",0.421,2.4763
"219","X9P254R1Dm3","DNEG3","P254","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Bacteroidales",0.4457,2.4758
"220","X9P255R1Dm3","DNEG3","P255","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Bacteroidales",0.4456,2.4758
"221","X9P325R4Dm3","DNEG3","P325","INFnm","Fecal Swab","DNEG3_INFnm","Bacteroidales",0.4201,2.4712
"222","X9P300R3D0","D0","P300","INFinject","Fecal or Fecal swab","D0_INFinject","Selenomonadales",0.3208,2.4675
"223","X9P267R2D4","D4","P267","INFfeed","Fecal or Fecal swab","D4_INFfeed","Bifidobacteriales",0.0985,2.4634
"224","X9P263R1D7","D7","P263","NONINFnm","Fecal","D7_NONINFnm","Lactobacillales",0.1969,2.4615
"225","X9P304R3D0","D0","P304","INFinject","Fecal or Fecal swab","D0_INFinject","Clostridiales",0.3154,2.426
"226","X9P311R4D7","D7","P311","INFnm","Fecal","D7_INFnm","Clostridiales",0.2424,2.4238
"227","X9P302R3D0","D0","P302","INFinject","Fecal or Fecal swab","D0_INFinject","Clostridiales",0.3151,2.4235
"228","X9P282R2D7","D7","P282","INFfeed","Fecal","D7_INFfeed","Clostridiales",0.2417,2.4172
"229","X9P271R2Dm3","DNEG3","P271","INFfeed","Fecal Swab","DNEG3_INFfeed","Bacteroidales",0.483,2.4151
"230","X9P250R1Dm3","DNEG3","P250","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Bacteroidales",0.4331,2.4061
"231","X9P323R4D7","D7","P323","INFnm","Fecal","D7_INFnm","Lactobacillales",0.2403,2.4034
