"","group","Day","Pig","Treatment","Sample.type","All","Phylum","value","value2","forplot"
"1063","X9P311R4Dm3","DNEG3","P311","INFnm","Fecal Swab","DNEG3_INFnm","Tenericutes",0.0031,0.0182,"keep"
"1064","X9P300R3Dm3","DNEG3","P300","INFinject","Fecal Swab","DNEG3_INFinject","Bacteria_unclassified",0.0031,0.0182,"keep"
"1065","X9P308R4Dm3","DNEG3","P308","INFnm","Fecal Swab","DNEG3_INFnm","Bacteria_unclassified",0.0031,0.0182,"keep"
"1066","X9P313R4Dm3","DNEG3","P313","INFnm","Fecal Swab","DNEG3_INFnm","Bacteria_unclassified",0.0031,0.0182,"keep"
"1067","X9P306R4Dm3","DNEG3","P306","INFnm","Fecal Swab","DNEG3_INFnm","Planctomycetes",0.0031,0.0182,"keep"
"1068","X9P302R3Dm3","DNEG3","P302","INFinject","Fecal Swab","DNEG3_INFinject","Cyanobacteria",0.0031,0.0182,"keep"
"1069","X9P288R3Dm3","DNEG3","P288","INFinject","Fecal Swab","DNEG3_INFinject","Epsilonbacteraeota",0.0031,0.0181,"keep"
"1070","X9P295R3Dm3","DNEG3","P295","INFinject","Fecal Swab","DNEG3_INFinject","Actinobacteria",0.0031,0.0181,"keep"
"1071","X9P305R3Dm3","DNEG3","P305","INFinject","Fecal Swab","DNEG3_INFinject","Actinobacteria",0.0031,0.0181,"keep"
"1072","X9P317R4Dm3","DNEG3","P317","INFnm","Fecal Swab","DNEG3_INFnm","Tenericutes",0.0031,0.0181,"keep"
"1073","X9P317R4Dm3","DNEG3","P317","INFnm","Fecal Swab","DNEG3_INFnm","Verrucomicrobia",0.0031,0.0181,"keep"
"1074","X9P299R3Dm3","DNEG3","P299","INFinject","Fecal Swab","DNEG3_INFinject","Cyanobacteria",0.0031,0.0181,"keep"
"1075","X9P291R3D0","D0","P291","INFinject","Fecal or Fecal swab","D0_INFinject","Actinobacteria",0.0023,0.0178,"keep"
"1076","X9P305R3D0","D0","P305","INFinject","Fecal or Fecal swab","D0_INFinject","Spirochaetes",0.0023,0.0178,"keep"
"1077","X9P290R3D0","D0","P290","INFinject","Fecal or Fecal swab","D0_INFinject","Planctomycetes",0.0023,0.0178,"keep"
"1078","X9P254R1Dm3","DNEG3","P254","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Kiritimatiellaeota",0.0031,0.0173,"keep"
"1079","X9P257R1D0","D0","P257","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Proteobacteria",0.0016,0.0172,"keep"
"1080","X9P257R1D0","D0","P257","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Epsilonbacteraeota",0.0016,0.0172,"keep"
"1081","X9P257R1Dm3","DNEG3","P257","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Spirochaetes",0.0031,0.0172,"keep"
"1082","X9P253R1Dm3","DNEG3","P253","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Tenericutes",0.0031,0.0172,"keep"
"1083","X9P252R1Dm3","DNEG3","P252","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Bacteria_unclassified",0.0031,0.0172,"keep"
"1084","X9P253R1Dm3","DNEG3","P253","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Bacteria_unclassified",0.0031,0.0172,"keep"
"1085","X9P255R1Dm3","DNEG3","P255","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Actinobacteria",0.0031,0.0171,"keep"
"1086","X9P259R1Dm3","DNEG3","P259","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Tenericutes",0.0031,0.0171,"keep"
"1087","X9P264R1D0","D0","P264","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Tenericutes",0.0015,0.0171,"keep"
