"","group","Day","Pig","Treatment","Sample.type","All","Phylum","value","value2","forplot"
"489","X9P259R1D4","D4","P259","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Actinobacteria",0.0115,0.2308,"keep"
"490","X9P309R4D4","D4","P309","INFnm","Fecal or Fecal swab","D4_INFnm","Actinobacteria",0.0138,0.2308,"keep"
"491","X9P325R4Dm3","DNEG3","P325","INFnm","Fecal Swab","DNEG3_INFnm","Epsilonbacteraeota",0.0382,0.2248,"keep"
"492","X9P273R2Dm3","DNEG3","P273","INFfeed","Fecal Swab","DNEG3_INFfeed","Proteobacteria",0.0447,0.2234,"keep"
"493","X9P312R4Dm3","DNEG3","P312","INFnm","Fecal Swab","DNEG3_INFnm","Proteobacteria",0.0378,0.2222,"keep"
"494","X9P261R1D7","D7","P261","NONINFnm","Fecal","D7_NONINFnm","Actinobacteria",0.0177,0.2218,"keep"
"495","X9P286R3D4","D4","P286","INFinject","Fecal or Fecal swab","D4_INFinject","Planctomycetes",0.0154,0.2203,"keep"
"496","X9P299R3D4","D4","P299","INFinject","Fecal or Fecal swab","D4_INFinject","Proteobacteria",0.0154,0.2201,"keep"
"497","X9P317R4D0","D0","P317","INFnm","Fecal or Fecal swab","D0_INFnm","Proteobacteria",0.0154,0.2199,"keep"
"498","X9P316R4D4","D4","P316","INFnm","Fecal or Fecal swab","D4_INFnm","Proteobacteria",0.0132,0.2196,"keep"
"499","X9P305R3D0","D0","P305","INFinject","Fecal or Fecal swab","D0_INFinject","Proteobacteria",0.0285,0.2191,"keep"
"500","X9P300R3D0","D0","P300","INFinject","Fecal or Fecal swab","D0_INFinject","Tenericutes",0.0285,0.2191,"keep"
"501","X9P324R4D7","D7","P324","INFnm","Fecal","D7_INFnm","Actinobacteria",0.0216,0.2164,"keep"
"502","X9P278R2D0","D0","P278","INFfeed","Fecal or Fecal swab","D0_INFfeed","Tenericutes",0.0108,0.2162,"keep"
"503","X9P322R4Dm3","DNEG3","P322","INFnm","Fecal Swab","DNEG3_INFnm","Proteobacteria",0.0363,0.2135,"keep"
"504","X9P320R4Dm3","DNEG3","P320","INFnm","Fecal Swab","DNEG3_INFnm","Proteobacteria",0.0362,0.2127,"keep"
"505","X9P296R3D4","D4","P296","INFinject","Fecal or Fecal swab","D4_INFinject","Proteobacteria",0.0148,0.2109,"keep"
"506","X9P274R2Dm3","DNEG3","P274","INFfeed","Fecal Swab","DNEG3_INFfeed","Actinobacteria",0.0418,0.2088,"keep"
"507","X9P271R2D7","D7","P271","INFfeed","Fecal","D7_INFfeed","Actinobacteria",0.0208,0.2083,"keep"
"508","X9P319R4D4","D4","P319","INFnm","Fecal or Fecal swab","D4_INFnm","Bacteria_unclassified",0.0124,0.2064,"keep"
"509","X9P250R1D0","D0","P250","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Actinobacteria",0.0185,0.2051,"keep"
"510","X9P323R4Dm3","DNEG3","P323","INFnm","Fecal Swab","DNEG3_INFnm","Proteobacteria",0.0347,0.2042,"keep"
"511","X9P323R4Dm3","DNEG3","P323","INFnm","Fecal Swab","DNEG3_INFnm","Spirochaetes",0.0347,0.2042,"keep"
"512","X9P264R1D7","D7","P264","NONINFnm","Fecal","D7_NONINFnm","Tenericutes",0.0162,0.2022,"keep"
"513","X9P258R1D4","D4","P258","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Proteobacteria",0.01,0.2009,"keep"
"514","X9P303R3D7","D7","P303","INFinject","Fecal or Fecal swab","D7_INFinject","Proteobacteria",0.02,0.2003,"keep"
"515","X9P304R3D7","D7","P304","INFinject","Fecal","D7_INFinject","Actinobacteria",0.02,0.2002,"keep"
"516","X9P259R1D4","D4","P259","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Spirochaetes",0.01,0.2,"keep"
"517","X9P249R1Dm3","DNEG3","P249","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Proteobacteria",0.0339,0.1994,"keep"
"518","X9P293R3Dm3","DNEG3","P293","INFinject","Fecal Swab","DNEG3_INFinject","Spirochaetes",0.0338,0.1991,"keep"
"519","X9P255R1D7","D7","P255","NONINFnm","Fecal","D7_NONINFnm","Proteobacteria",0.0154,0.1925,"keep"
"520","X9P271R2Dm3","DNEG3","P271","INFfeed","Fecal Swab","DNEG3_INFfeed","Bacteria_unclassified",0.0385,0.1923,"keep"
"521","X9P324R4D0","D0","P324","INFnm","Fecal or Fecal swab","D0_INFnm","Proteobacteria",0.0132,0.188,"keep"
"522","X9P324R4D0","D0","P324","INFnm","Fecal or Fecal swab","D0_INFnm","Actinobacteria",0.0132,0.188,"keep"
"523","X9P290R3D4","D4","P290","INFinject","Fecal or Fecal swab","D4_INFinject","Bacteria_unclassified",0.0131,0.1868,"keep"
"524","X9P292R3D7","D7","P292","INFinject","Fecal","D7_INFinject","Proteobacteria",0.0186,0.1856,"keep"
"525","X9P250R1D4","D4","P250","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Actinobacteria",0.0093,0.1853,"keep"
"526","X9P302R3D7","D7","P302","INFinject","Fecal","D7_INFinject","Tenericutes",0.0185,0.1853,"keep"
"527","X9P267R2D0","D0","P267","INFfeed","Fecal or Fecal swab","D0_INFfeed","Spirochaetes",0.0093,0.185,"keep"
"528","X9P290R3D0","D0","P290","INFinject","Fecal or Fecal swab","D0_INFinject","Proteobacteria",0.024,0.1844,"keep"
"529","X9P319R4Dm3","DNEG3","P319","INFnm","Fecal Swab","DNEG3_INFnm","Spirochaetes",0.0309,0.1817,"keep"
"530","X9P275R2Dm3","DNEG3","P275","INFfeed","Fecal Swab","DNEG3_INFfeed","Spirochaetes",0.0362,0.1808,"keep"
"531","X9P317R4D4","D4","P317","INFnm","Fecal or Fecal swab","D4_INFnm","Tenericutes",0.0108,0.1805,"keep"
"532","X9P263R1D0","D0","P263","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Actinobacteria",0.0162,0.1795,"keep"
"533","X9P293R3D0","D0","P293","INFinject","Fecal or Fecal swab","D0_INFinject","Spirochaetes",0.0231,0.1779,"keep"
"534","X9P289R3Dm3","DNEG3","P289","INFinject","Fecal Swab","DNEG3_INFinject","Proteobacteria",0.0302,0.1776,"keep"
"535","X9P324R4Dm3","DNEG3","P324","INFnm","Fecal Swab","DNEG3_INFnm","Proteobacteria",0.0301,0.1769,"keep"
"536","X9P296R3Dm3","DNEG3","P296","INFinject","Fecal Swab","DNEG3_INFinject","Spirochaetes",0.03,0.1767,"keep"
"537","X9P269R2D4","D4","P269","INFfeed","Fecal or Fecal swab","D4_INFfeed","Spirochaetes",0.007,0.1752,"keep"
"538","X9P270R2Dm3","DNEG3","P270","INFfeed","Fecal Swab","DNEG3_INFfeed","Actinobacteria",0.0346,0.1732,"keep"
"539","X9P252R1Dm3","DNEG3","P252","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Proteobacteria",0.0293,0.1726,"keep"
"540","X9P317R4Dm3","DNEG3","P317","INFnm","Fecal Swab","DNEG3_INFnm","Spirochaetes",0.0293,0.1725,"keep"
"541","X9P255R1D0","D0","P255","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Bacteria_unclassified",0.0154,0.1711,"keep"
"542","X9P269R2Dm3","DNEG3","P269","INFfeed","Fecal Swab","DNEG3_INFfeed","Proteobacteria",0.0339,0.1695,"keep"
"543","X9P323R4D7","D7","P323","INFnm","Fecal","D7_INFnm","Proteobacteria",0.0169,0.1695,"keep"
"544","X9P294R3D7","D7","P294","INFinject","Fecal","D7_INFinject","Cyanobacteria",0.0169,0.1695,"keep"
"545","X9P301R3D7","D7","P301","INFinject","Fecal","D7_INFinject","Proteobacteria",0.0169,0.1694,"keep"
"546","X9P290R3Dm3","DNEG3","P290","INFinject","Fecal Swab","DNEG3_INFinject","Spirochaetes",0.0286,0.1685,"keep"
"547","X9P293R3Dm3","DNEG3","P293","INFinject","Fecal Swab","DNEG3_INFinject","Proteobacteria",0.0285,0.1674,"keep"
"548","X9P302R3D0","D0","P302","INFinject","Fecal or Fecal swab","D0_INFinject","Proteobacteria",0.0216,0.1659,"keep"
"549","X9P262R1D7","D7","P262","NONINFnm","Fecal","D7_NONINFnm","Cyanobacteria",0.0131,0.1641,"keep"
"550","X9P275R2D7","D7","P275","INFfeed","Fecal or Fecal swab","D7_INFfeed","Tenericutes",0.0163,0.163,"keep"
"551","X9P295R3D7","D7","P295","INFinject","Fecal","D7_INFinject","Cyanobacteria",0.0162,0.162,"keep"
"552","X9P302R3Dm3","DNEG3","P302","INFinject","Fecal Swab","DNEG3_INFinject","Proteobacteria",0.0271,0.1596,"keep"
"553","X9P249R1Dm3","DNEG3","P249","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Actinobacteria",0.027,0.1586,"keep"
"554","X9P275R2D7","D7","P275","INFfeed","Fecal or Fecal swab","D7_INFfeed","Proteobacteria",0.0155,0.1553,"keep"
"555","X9P272R2D7","D7","P272","INFfeed","Fecal","D7_INFfeed","Proteobacteria",0.0154,0.1544,"keep"
"556","X9P284R2D0","D0","P284","INFfeed","Fecal or Fecal swab","D0_INFfeed","Spirochaetes",0.0077,0.1544,"keep"
"557","X9P287R3Dm3","DNEG3","P287","INFinject","Fecal Swab","DNEG3_INFinject","Kiritimatiellaeota",0.0263,0.1544,"keep"
"558","X9P267R2D0","D0","P267","INFfeed","Fecal or Fecal swab","D0_INFfeed","Actinobacteria",0.0077,0.1542,"keep"
"559","X9P304R3Dm3","DNEG3","P304","INFinject","Fecal Swab","DNEG3_INFinject","Actinobacteria",0.0262,0.1542,"keep"
"560","X9P324R4Dm3","DNEG3","P324","INFnm","Fecal Swab","DNEG3_INFnm","Spirochaetes",0.0262,0.1542,"keep"
"561","X9P255R1D7","D7","P255","NONINFnm","Fecal","D7_NONINFnm","Actinobacteria",0.0123,0.154,"keep"
"562","X9P290R3D4","D4","P290","INFinject","Fecal or Fecal swab","D4_INFinject","Proteobacteria",0.0108,0.1538,"keep"
"563","X9P297R3D4","D4","P297","INFinject","Fecal or Fecal swab","D4_INFinject","Proteobacteria",0.0108,0.1538,"keep"
"564","X9P290R3D4","D4","P290","INFinject","Fecal or Fecal swab","D4_INFinject","Tenericutes",0.0108,0.1538,"keep"
"565","X9P299R3D0","D0","P299","INFinject","Fecal or Fecal swab","D0_INFinject","Actinobacteria",0.0193,0.1487,"keep"
"566","X9P286R3D0","D0","P286","INFinject","Fecal or Fecal swab","D0_INFinject","Proteobacteria",0.0192,0.148,"keep"
"567","X9P305R3D0","D0","P305","INFinject","Fecal or Fecal swab","D0_INFinject","Tenericutes",0.0192,0.148,"keep"
"568","X9P259R1D0","D0","P259","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Actinobacteria",0.0131,0.1456,"keep"
"569","X9P261R1D0","D0","P261","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Proteobacteria",0.0131,0.1454,"keep"
"570","X9P251R1D7","D7","P251","NONINFnm","Fecal","D7_NONINFnm","Cyanobacteria",0.0116,0.1447,"keep"
"571","X9P298R3D4","D4","P298","INFinject","Fecal or Fecal swab","D4_INFinject","Proteobacteria",0.01,0.1431,"keep"
"572","X9P290R3D0","D0","P290","INFinject","Fecal or Fecal swab","D0_INFinject","Tenericutes",0.0186,0.1428,"keep"
"573","X9P296R3D0","D0","P296","INFinject","Fecal or Fecal swab","D0_INFinject","Proteobacteria",0.0185,0.142,"keep"
"574","X9P301R3D0","D0","P301","INFinject","Fecal or Fecal swab","D0_INFinject","Actinobacteria",0.0185,0.142,"keep"
"575","X9P306R4D4","D4","P306","INFnm","Fecal or Fecal swab","D4_INFnm","Proteobacteria",0.0085,0.1414,"keep"
"576","X9P313R4Dm3","DNEG3","P313","INFnm","Fecal Swab","DNEG3_INFnm","Proteobacteria",0.024,0.1409,"keep"
