"","group","Day","Pig","Treatment","Sample.type","All","Phylum","value","value2","forplot"
"644","X9P286R3D4","D4","P286","INFinject","Fecal or Fecal swab","D4_INFinject","Cyanobacteria",0.0069,0.0991,"keep"
"645","X9P320R4D0","D0","P320","INFnm","Fecal or Fecal swab","D0_INFnm","Spirochaetes",0.0069,0.099,"keep"
"646","X9P279R2Dm3","DNEG3","P279","INFfeed","Fecal Swab","DNEG3_INFfeed","Spirochaetes",0.0194,0.0971,"keep"
"647","X9P251R1D7","D7","P251","NONINFnm","Fecal","D7_NONINFnm","Proteobacteria",0.0077,0.0965,"keep"
"648","X9P281R2Dm3","DNEG3","P281","INFfeed","Fecal Swab","DNEG3_INFfeed","Epsilonbacteraeota",0.0193,0.0963,"keep"
"649","X9P253R1Dm3","DNEG3","P253","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Epsilonbacteraeota",0.0162,0.0953,"keep"
"650","X9P324R4Dm3","DNEG3","P324","INFnm","Fecal Swab","DNEG3_INFnm","Planctomycetes",0.0162,0.0952,"keep"
"651","X9P297R3D0","D0","P297","INFinject","Fecal or Fecal swab","D0_INFinject","Tenericutes",0.0123,0.095,"keep"
"652","X9P304R3D0","D0","P304","INFinject","Fecal or Fecal swab","D0_INFinject","Proteobacteria",0.0123,0.0947,"keep"
"653","X9P311R4D7","D7","P311","INFnm","Fecal","D7_INFnm","Proteobacteria",0.0093,0.0932,"keep"
"654","X9P284R2D7","D7","P284","INFfeed","Fecal","D7_INFfeed","Spirochaetes",0.0093,0.0927,"keep"
"655","X9P273R2D7","D7","P273","INFfeed","Fecal","D7_INFfeed","Actinobacteria",0.0093,0.0925,"keep"
"656","X9P267R2D0","D0","P267","INFfeed","Fecal or Fecal swab","D0_INFfeed","Tenericutes",0.0046,0.0925,"keep"
"657","X9P281R2Dm3","DNEG3","P281","INFfeed","Fecal Swab","DNEG3_INFfeed","Proteobacteria",0.0185,0.0924,"keep"
"658","X9P280R2D0","D0","P280","INFfeed","Fecal or Fecal swab","D0_INFfeed","Actinobacteria",0.0046,0.0924,"keep"
"659","X9P323R4D7","D7","P323","INFnm","Fecal","D7_INFnm","Actinobacteria",0.0092,0.0924,"keep"
"660","X9P323R4D7","D7","P323","INFnm","Fecal","D7_INFnm","Epsilonbacteraeota",0.0092,0.0924,"keep"
"661","X9P321R4Dm3","DNEG3","P321","INFnm","Fecal Swab","DNEG3_INFnm","Epsilonbacteraeota",0.0154,0.0908,"keep"
"662","X9P248R1Dm3","DNEG3","P248","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Spirochaetes",0.0154,0.0907,"keep"
"663","X9P310R4Dm3","DNEG3","P310","INFnm","Fecal Swab","DNEG3_INFnm","Spirochaetes",0.0154,0.0907,"keep"
"664","X9P305R3Dm3","DNEG3","P305","INFinject","Fecal Swab","DNEG3_INFinject","Proteobacteria",0.0154,0.0905,"keep"
"665","X9P246R1Dm3","DNEG3","P246","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Actinobacteria",0.0154,0.0905,"keep"
"666","X9P319R4D4","D4","P319","INFnm","Fecal or Fecal swab","D4_INFnm","Actinobacteria",0.0054,0.0903,"keep"
"667","X9P319R4D4","D4","P319","INFnm","Fecal or Fecal swab","D4_INFnm","Kiritimatiellaeota",0.0054,0.0903,"keep"
"668","X9P318R4D4","D4","P318","INFnm","Fecal or Fecal swab","D4_INFnm","Actinobacteria",0.0054,0.0902,"keep"
"669","X9P309R4D4","D4","P309","INFnm","Fecal or Fecal swab","D4_INFnm","Epsilonbacteraeota",0.0054,0.0897,"keep"
"670","X9P276R2Dm3","DNEG3","P276","INFfeed","Fecal Swab","DNEG3_INFfeed","Epsilonbacteraeota",0.0179,0.0894,"keep"
"671","X9P277R2Dm3","DNEG3","P277","INFfeed","Fecal Swab","DNEG3_INFfeed","Spirochaetes",0.0178,0.0889,"keep"
"672","X9P272R2Dm3","DNEG3","P272","INFfeed","Fecal Swab","DNEG3_INFfeed","Spirochaetes",0.0177,0.0887,"keep"
"673","X9P320R4D0","D0","P320","INFnm","Fecal or Fecal swab","D0_INFnm","Actinobacteria",0.0062,0.088,"keep"
"674","X9P288R3Dm3","DNEG3","P288","INFinject","Fecal Swab","DNEG3_INFinject","Actinobacteria",0.0147,0.0864,"keep"
"675","X9P304R3Dm3","DNEG3","P304","INFinject","Fecal Swab","DNEG3_INFinject","Proteobacteria",0.0146,0.0862,"keep"
"676","X9P258R1D0","D0","P258","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Proteobacteria",0.0077,0.0855,"keep"
"677","X9P284R2D7","D7","P284","INFfeed","Fecal","D7_INFfeed","Proteobacteria",0.0085,0.0849,"keep"
"678","X9P304R3D7","D7","P304","INFinject","Fecal","D7_INFinject","Proteobacteria",0.0085,0.0847,"keep"
"679","X9P286R3Dm3","DNEG3","P286","INFinject","Fecal Swab","DNEG3_INFinject","Proteobacteria",0.0139,0.0816,"keep"
"680","X9P277R2Dm3","DNEG3","P277","INFfeed","Fecal Swab","DNEG3_INFfeed","Proteobacteria",0.0162,0.0811,"keep"
"681","X9P273R2Dm3","DNEG3","P273","INFfeed","Fecal Swab","DNEG3_INFfeed","Actinobacteria",0.0162,0.0809,"keep"
"682","X9P273R2Dm3","DNEG3","P273","INFfeed","Fecal Swab","DNEG3_INFfeed","Spirochaetes",0.0162,0.0809,"keep"
"683","X9P269R2D4","D4","P269","INFfeed","Fecal or Fecal swab","D4_INFfeed","Actinobacteria",0.0031,0.0779,"keep"
"684","X9P257R1D0","D0","P257","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Proteobacteria",0.007,0.0776,"keep"
"685","X9P275R2D7","D7","P275","INFfeed","Fecal or Fecal swab","D7_INFfeed","Actinobacteria",0.0078,0.0776,"keep"
"686","X9P316R4D4","D4","P316","INFnm","Fecal or Fecal swab","D4_INFnm","Epsilonbacteraeota",0.0047,0.0775,"keep"
"687","X9P258R1D4","D4","P258","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Spirochaetes",0.0039,0.0773,"keep"
"688","X9P253R1D7","D7","P253","NONINFnm","Fecal","D7_NONINFnm","Cyanobacteria",0.0062,0.0773,"keep"
"689","X9P284R2D0","D0","P284","INFfeed","Fecal or Fecal swab","D0_INFfeed","Actinobacteria",0.0039,0.0772,"keep"
"690","X9P271R2D7","D7","P271","INFfeed","Fecal","D7_INFfeed","Tenericutes",0.0077,0.0772,"keep"
"691","X9P293R3D0","D0","P293","INFinject","Fecal or Fecal swab","D0_INFinject","Actinobacteria",0.01,0.0771,"keep"
"692","X9P291R3D7","D7","P291","INFinject","Fecal or Fecal swab","D7_INFinject","Proteobacteria",0.0077,0.077,"keep"
"693","X9P250R1Dm3","DNEG3","P250","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Actinobacteria",0.0131,0.077,"keep"
"694","X9P295R3Dm3","DNEG3","P295","INFinject","Fecal Swab","DNEG3_INFinject","Epsilonbacteraeota",0.0131,0.077,"keep"
"695","X9P258R1Dm3","DNEG3","P258","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Spirochaetes",0.0131,0.077,"keep"
"696","X9P269R2D0","D0","P269","INFfeed","Fecal or Fecal swab","D0_INFfeed","Spirochaetes",0.0039,0.077,"keep"
"697","X9P300R3D0","D0","P300","INFinject","Fecal or Fecal swab","D0_INFinject","Spirochaetes",0.01,0.077,"keep"
"698","X9P310R4D0","D0","P310","INFnm","Fecal or Fecal swab","D0_INFnm","Spirochaetes",0.0054,0.077,"keep"
"699","X9P255R1D0","D0","P255","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Tenericutes",0.0069,0.077,"keep"
"700","X9P291R3D7","D7","P291","INFinject","Fecal or Fecal swab","D7_INFinject","Tenericutes",0.0077,0.077,"keep"
"701","X9P280R2D0","D0","P280","INFfeed","Fecal or Fecal swab","D0_INFfeed","Bacteria_unclassified",0.0038,0.077,"keep"
"702","X9P264R1Dm3","DNEG3","P264","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Proteobacteria",0.0131,0.0769,"keep"
"703","X9P266R2D4","D4","P266","INFfeed","Fecal or Fecal swab","D4_INFfeed","Proteobacteria",0.0031,0.0769,"keep"
"704","X9P285R2D7","D7","P285","INFfeed","Fecal","D7_INFfeed","Actinobacteria",0.0077,0.0769,"keep"
"705","X9P276R2Dm3","DNEG3","P276","INFfeed","Fecal Swab","DNEG3_INFfeed","Planctomycetes",0.0148,0.0739,"keep"
"706","X9P274R2Dm3","DNEG3","P274","INFfeed","Fecal Swab","DNEG3_INFfeed","Bacteria_unclassified",0.0147,0.0735,"keep"
"707","X9P283R2Dm3","DNEG3","P283","INFfeed","Fecal Swab","DNEG3_INFfeed","Proteobacteria",0.0146,0.0732,"keep"
"708","X9P309R4Dminus3","DNEG3","P309","INFnm","Fecal or Fecal swab","DNEG3_INFnm","Proteobacteria",0.0123,0.0726,"keep"
"709","X9P265R1Dm3","DNEG3","P265","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Spirochaetes",0.0123,0.0726,"keep"
"710","X9P300R3D0","D0","P300","INFinject","Fecal or Fecal swab","D0_INFinject","Actinobacteria",0.0092,0.0711,"keep"
"711","X9P274R2Dm3","DNEG3","P274","INFfeed","Fecal Swab","DNEG3_INFfeed","Proteobacteria",0.0139,0.0696,"keep"
"712","X9P302R3D7","D7","P302","INFinject","Fecal","D7_INFinject","Proteobacteria",0.0069,0.0695,"keep"
"713","X9P312R4D7","D7","P312","INFnm","Fecal","D7_INFnm","Proteobacteria",0.0069,0.0694,"keep"
"714","X9P294R3D7","D7","P294","INFinject","Fecal","D7_INFinject","Proteobacteria",0.0069,0.0693,"keep"
"715","X9P274R2D7","D7","P274","INFfeed","Fecal or Fecal swab","D7_INFfeed","Spirochaetes",0.0069,0.0693,"keep"
"716","X9P291R3D7","D7","P291","INFinject","Fecal or Fecal swab","D7_INFinject","Cyanobacteria",0.0069,0.0693,"keep"
"717","X9P293R3D7","D7","P293","INFinject","Fecal","D7_INFinject","Tenericutes",0.0069,0.0692,"keep"
"718","X9P325R4Dm3","DNEG3","P325","INFnm","Fecal Swab","DNEG3_INFnm","Cyanobacteria",0.0117,0.0688,"keep"
"719","X9P325R4Dm3","DNEG3","P325","INFnm","Fecal Swab","DNEG3_INFnm","Kiritimatiellaeota",0.0117,0.0688,"keep"
"720","X9P265R1D0","D0","P265","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Proteobacteria",0.0062,0.0684,"keep"
"721","X9P255R1D0","D0","P255","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Actinobacteria",0.0062,0.0684,"keep"
"722","X9P316R4Dm3","DNEG3","P316","INFnm","Fecal Swab","DNEG3_INFnm","Spirochaetes",0.0116,0.0682,"keep"
"723","X9P319R4Dm3","DNEG3","P319","INFnm","Fecal Swab","DNEG3_INFnm","Bacteria_unclassified",0.0116,0.0681,"keep"
"724","X9P257R1Dm3","DNEG3","P257","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Spirochaetes",0.0116,0.068,"keep"
"725","X9P324R4D0","D0","P324","INFnm","Fecal or Fecal swab","D0_INFnm","Cyanobacteria",0.0046,0.0663,"keep"
"726","X9P286R3D4","D4","P286","INFinject","Fecal or Fecal swab","D4_INFinject","Proteobacteria",0.0046,0.0661,"keep"
"727","X9P286R3D4","D4","P286","INFinject","Fecal or Fecal swab","D4_INFinject","Actinobacteria",0.0046,0.0661,"keep"
"728","X9P276R2Dm3","DNEG3","P276","INFfeed","Fecal Swab","DNEG3_INFfeed","Bacteria_unclassified",0.0132,0.0661,"keep"
"729","X9P310R4D0","D0","P310","INFnm","Fecal or Fecal swab","D0_INFnm","Actinobacteria",0.0046,0.066,"keep"
"730","X9P277R2Dm3","DNEG3","P277","INFfeed","Fecal Swab","DNEG3_INFfeed","Epsilonbacteraeota",0.0131,0.0657,"keep"
"731","X9P300R3D0","D0","P300","INFinject","Fecal or Fecal swab","D0_INFinject","Proteobacteria",0.0085,0.0651,"keep"
"732","X9P304R3D0","D0","P304","INFinject","Fecal or Fecal swab","D0_INFinject","Actinobacteria",0.0085,0.0651,"keep"
"733","X9P317R4D4","D4","P317","INFnm","Fecal or Fecal swab","D4_INFnm","Bacteria_unclassified",0.0039,0.0644,"keep"
"734","X9P309R4D4","D4","P309","INFnm","Fecal or Fecal swab","D4_INFnm","Tenericutes",0.0038,0.0641,"keep"
"735","X9P316R4Dm3","DNEG3","P316","INFnm","Fecal Swab","DNEG3_INFnm","Verrucomicrobia",0.0108,0.0636,"keep"
"736","X9P296R3Dm3","DNEG3","P296","INFinject","Fecal Swab","DNEG3_INFinject","Proteobacteria",0.0108,0.0634,"keep"
"737","X9P301R3Dm3","DNEG3","P301","INFinject","Fecal Swab","DNEG3_INFinject","Epsilonbacteraeota",0.0108,0.0634,"keep"
"738","X9P320R4Dm3","DNEG3","P320","INFnm","Fecal Swab","DNEG3_INFnm","Epsilonbacteraeota",0.0108,0.0633,"keep"
"739","X9P325R4D7","D7","P325","INFnm","Fecal","D7_INFnm","Cyanobacteria",0.0062,0.0621,"keep"
"740","X9P292R3D7","D7","P292","INFinject","Fecal","D7_INFinject","Spirochaetes",0.0062,0.0619,"keep"
"741","X9P292R3D7","D7","P292","INFinject","Fecal","D7_INFinject","Bacteria_unclassified",0.0062,0.0619,"keep"
"742","X9P292R3D7","D7","P292","INFinject","Fecal","D7_INFinject","Cyanobacteria",0.0062,0.0619,"keep"
"743","X9P250R1D4","D4","P250","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Spirochaetes",0.0031,0.0618,"keep"
"744","X9P257R1D4","D4","P257","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Spirochaetes",0.0031,0.0618,"keep"
"745","X9P284R2D0","D0","P284","INFfeed","Fecal or Fecal swab","D0_INFfeed","Bacteria_unclassified",0.0031,0.0618,"keep"
"746","X9P258R1D4","D4","P258","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Cyanobacteria",0.0031,0.0618,"keep"
"747","X9P274R2D7","D7","P274","INFfeed","Fecal or Fecal swab","D7_INFfeed","Actinobacteria",0.0062,0.0616,"keep"
"748","X9P313R4D7","D7","P313","INFnm","Fecal","D7_INFnm","Tenericutes",0.0062,0.0616,"keep"
"749","X9P293R3D7","D7","P293","INFinject","Fecal","D7_INFinject","Spirochaetes",0.0062,0.0615,"keep"
"750","X9P246R1D4","D4","P246","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Tenericutes",0.0031,0.0615,"keep"
"751","X9P322R4D7","D7","P322","INFnm","Fecal","D7_INFnm","Tenericutes",0.0062,0.0615,"keep"
"752","X9P259R1D4","D4","P259","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Cyanobacteria",0.0031,0.0615,"keep"
"753","X9P275R2Dm3","DNEG3","P275","INFfeed","Fecal Swab","DNEG3_INFfeed","Cyanobacteria",0.0123,0.0615,"keep"
"754","X9P259R1D0","D0","P259","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Epsilonbacteraeota",0.0054,0.06,"keep"
"755","X9P261R1D0","D0","P261","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Tenericutes",0.0054,0.0599,"keep"
"756","X9P263R1D0","D0","P263","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Epsilonbacteraeota",0.0054,0.0598,"keep"
"757","X9P291R3D0","D0","P291","INFinject","Fecal or Fecal swab","D0_INFinject","Spirochaetes",0.0077,0.0593,"keep"
"758","X9P302R3Dm3","DNEG3","P302","INFinject","Fecal Swab","DNEG3_INFinject","Kiritimatiellaeota",0.0101,0.0593,"keep"
"759","X9P289R3Dm3","DNEG3","P289","INFinject","Fecal Swab","DNEG3_INFinject","Cyanobacteria",0.0101,0.0592,"keep"
"760","X9P254R1Dm3","DNEG3","P254","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Actinobacteria",0.0101,0.0591,"keep"
"761","X9P313R4Dm3","DNEG3","P313","INFnm","Fecal Swab","DNEG3_INFnm","Actinobacteria",0.01,0.0591,"keep"
"762","X9P319R4Dm3","DNEG3","P319","INFnm","Fecal Swab","DNEG3_INFnm","Actinobacteria",0.01,0.0591,"keep"
"763","X9P252R1Dm3","DNEG3","P252","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Epsilonbacteraeota",0.01,0.0591,"keep"
"764","X9P265R1Dm3","DNEG3","P265","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Proteobacteria",0.01,0.059,"keep"
"765","X9P259R1Dm3","DNEG3","P259","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Actinobacteria",0.01,0.0589,"keep"
"766","X9P286R3Dm3","DNEG3","P286","INFinject","Fecal Swab","DNEG3_INFinject","Actinobacteria",0.01,0.0589,"keep"
"767","X9P294R3Dm3","DNEG3","P294","INFinject","Fecal Swab","DNEG3_INFinject","Epsilonbacteraeota",0.01,0.0589,"keep"
"768","X9P264R1Dm3","DNEG3","P264","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Actinobacteria",0.01,0.0588,"keep"
"769","X9P285R2Dm3","DNEG3","P285","INFfeed","Fecal Swab","DNEG3_INFfeed","Cyanobacteria",0.0116,0.058,"keep"
"770","X9P262R1D7","D7","P262","NONINFnm","Fecal","D7_NONINFnm","Bacteria_unclassified",0.0046,0.0579,"keep"
"771","X9P264R1D7","D7","P264","NONINFnm","Fecal","D7_NONINFnm","Proteobacteria",0.0046,0.0578,"keep"
"772","X9P263R1D7","D7","P263","NONINFnm","Fecal","D7_NONINFnm","Proteobacteria",0.0046,0.0577,"keep"
"773","X9P266R2D4","D4","P266","INFfeed","Fecal or Fecal swab","D4_INFfeed","Tenericutes",0.0023,0.0577,"keep"
"774","X9P266R2Dm3","DNEG3","P266","INFfeed","Fecal Swab","DNEG3_INFfeed","Bacteria_unclassified",0.0115,0.0577,"keep"
"775","X9P296R3D4","D4","P296","INFinject","Fecal or Fecal swab","D4_INFinject","Tenericutes",0.0039,0.0555,"keep"
"776","X9P296R3D4","D4","P296","INFinject","Fecal or Fecal swab","D4_INFinject","Cyanobacteria",0.0039,0.0555,"keep"
"777","X9P286R3D4","D4","P286","INFinject","Fecal or Fecal swab","D4_INFinject","Spirochaetes",0.0039,0.0551,"keep"
"778","X9P320R4D0","D0","P320","INFnm","Fecal or Fecal swab","D0_INFnm","Cyanobacteria",0.0038,0.055,"keep"
"779","X9P302R3Dm3","DNEG3","P302","INFinject","Fecal Swab","DNEG3_INFinject","Cyanobacteria",0.0093,0.0547,"keep"
"780","X9P292R3Dm3","DNEG3","P292","INFinject","Fecal Swab","DNEG3_INFinject","Proteobacteria",0.0093,0.0546,"keep"
"781","X9P247R1Dm3","DNEG3","P247","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Actinobacteria",0.0093,0.0546,"keep"
"782","X9P311R4Dm3","DNEG3","P311","INFnm","Fecal Swab","DNEG3_INFnm","Planctomycetes",0.0093,0.0546,"keep"
"783","X9P292R3Dm3","DNEG3","P292","INFinject","Fecal Swab","DNEG3_INFinject","Kiritimatiellaeota",0.0093,0.0546,"keep"
"784","X9P252R1Dm3","DNEG3","P252","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Spirochaetes",0.0093,0.0545,"keep"
"785","X9P322R4Dm3","DNEG3","P322","INFnm","Fecal Swab","DNEG3_INFnm","Spirochaetes",0.0093,0.0545,"keep"
"786","X9P308R4Dm3","DNEG3","P308","INFnm","Fecal Swab","DNEG3_INFnm","Actinobacteria",0.0092,0.0544,"keep"
"787","X9P291R3Dminus3","DNEG3","P291","INFinject","Fecal or Fecal swab","DNEG3_INFinject","Spirochaetes",0.0093,0.0544,"keep"
"788","X9P311R4D7","D7","P311","INFnm","Fecal","D7_INFnm","Tenericutes",0.0054,0.0544,"keep"
"789","X9P263R1Dm3","DNEG3","P263","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Proteobacteria",0.0092,0.0543,"keep"
"790","X9P299R3Dm3","DNEG3","P299","INFinject","Fecal Swab","DNEG3_INFinject","Epsilonbacteraeota",0.0092,0.0543,"keep"
"791","X9P268R2Dm3","DNEG3","P268","INFfeed","Fecal Swab","DNEG3_INFfeed","Actinobacteria",0.0108,0.0539,"keep"
"792","X9P314R4D7","D7","P314","INFnm","Fecal","D7_INFnm","Bacteria_unclassified",0.0054,0.0539,"keep"
"793","X9P321R4D7","D7","P321","INFnm","Fecal","D7_INFnm","Bacteria_unclassified",0.0054,0.0539,"keep"
"794","X9P301R3D7","D7","P301","INFinject","Fecal","D7_INFinject","Cyanobacteria",0.0054,0.0539,"keep"
"795","X9P313R4D7","D7","P313","INFnm","Fecal","D7_INFnm","Cyanobacteria",0.0054,0.0539,"keep"
"796","X9P285R2D7","D7","P285","INFfeed","Fecal","D7_INFfeed","Tenericutes",0.0054,0.0538,"keep"
"797","X9P322R4D7","D7","P322","INFnm","Fecal","D7_INFnm","Verrucomicrobia",0.0054,0.0538,"keep"
"798","X9P290R3D0","D0","P290","INFinject","Fecal or Fecal swab","D0_INFinject","Bacteria_unclassified",0.007,0.0535,"keep"
"799","X9P296R3D0","D0","P296","INFinject","Fecal or Fecal swab","D0_INFinject","Tenericutes",0.0069,0.0533,"keep"
"800","X9P258R1D0","D0","P258","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Actinobacteria",0.0046,0.0513,"keep"
"801","X9P250R1D0","D0","P250","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Spirochaetes",0.0046,0.0513,"keep"
"802","X9P309R4D4","D4","P309","INFnm","Fecal or Fecal swab","D4_INFnm","Spirochaetes",0.0031,0.0513,"keep"
"803","X9P276R2Dm3","DNEG3","P276","INFfeed","Fecal Swab","DNEG3_INFfeed","Proteobacteria",0.0101,0.0505,"keep"
"804","X9P302R3Dm3","DNEG3","P302","INFinject","Fecal Swab","DNEG3_INFinject","Actinobacteria",0.0085,0.0502,"keep"
"805","X9P283R2Dm3","DNEG3","P283","INFfeed","Fecal Swab","DNEG3_INFfeed","Actinobacteria",0.01,0.0501,"keep"
"806","X9P290R3Dm3","DNEG3","P290","INFinject","Fecal Swab","DNEG3_INFinject","Bacteria_unclassified",0.0085,0.0501,"keep"
"807","X9P316R4Dm3","DNEG3","P316","INFnm","Fecal Swab","DNEG3_INFnm","Actinobacteria",0.0085,0.05,"keep"
"808","X9P288R3Dm3","DNEG3","P288","INFinject","Fecal Swab","DNEG3_INFinject","Cyanobacteria",0.0085,0.05,"keep"
"809","X9P301R3Dm3","DNEG3","P301","INFinject","Fecal Swab","DNEG3_INFinject","Proteobacteria",0.0085,0.0499,"keep"
"810","X9P309R4Dminus3","DNEG3","P309","INFnm","Fecal or Fecal swab","DNEG3_INFnm","Actinobacteria",0.0085,0.0499,"keep"
"811","X9P312R4Dm3","DNEG3","P312","INFnm","Fecal Swab","DNEG3_INFnm","Epsilonbacteraeota",0.0085,0.0499,"keep"
"812","X9P291R3Dminus3","DNEG3","P291","INFinject","Fecal or Fecal swab","DNEG3_INFinject","Tenericutes",0.0085,0.0499,"keep"
"813","X9P259R1Dm3","DNEG3","P259","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Planctomycetes",0.0085,0.0499,"keep"
"814","X9P310R4Dm3","DNEG3","P310","INFnm","Fecal Swab","DNEG3_INFnm","Cyanobacteria",0.0085,0.0499,"keep"
"815","X9P262R1D7","D7","P262","NONINFnm","Fecal","D7_NONINFnm","Proteobacteria",0.0039,0.0483,"keep"
"816","X9P253R1D7","D7","P253","NONINFnm","Fecal","D7_NONINFnm","Tenericutes",0.0039,0.0483,"keep"
"817","X9P262R1D7","D7","P262","NONINFnm","Fecal","D7_NONINFnm","Tenericutes",0.0039,0.0483,"keep"
"818","X9P261R1D7","D7","P261","NONINFnm","Fecal","D7_NONINFnm","Proteobacteria",0.0039,0.0482,"keep"
"819","X9P255R1D7","D7","P255","NONINFnm","Fecal","D7_NONINFnm","Bacteria_unclassified",0.0038,0.0481,"keep"
"820","X9P291R3D0","D0","P291","INFinject","Fecal or Fecal swab","D0_INFinject","Proteobacteria",0.0062,0.0474,"keep"
"821","X9P293R3D0","D0","P293","INFinject","Fecal or Fecal swab","D0_INFinject","Proteobacteria",0.0062,0.0474,"keep"
"822","X9P291R3D0","D0","P291","INFinject","Fecal or Fecal swab","D0_INFinject","Actinobacteria",0.0062,0.0474,"keep"
"823","X9P295R3D0","D0","P295","INFinject","Fecal or Fecal swab","D0_INFinject","Epsilonbacteraeota",0.0062,0.0474,"keep"
"824","X9P286R3D0","D0","P286","INFinject","Fecal or Fecal swab","D0_INFinject","Spirochaetes",0.0062,0.0474,"keep"
"825","X9P293R3D0","D0","P293","INFinject","Fecal or Fecal swab","D0_INFinject","Tenericutes",0.0062,0.0474,"keep"
"826","X9P325R4D7","D7","P325","INFnm","Fecal","D7_INFnm","Kiritimatiellaeota",0.0047,0.0465,"keep"
"827","X9P250R1D4","D4","P250","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Proteobacteria",0.0023,0.0463,"keep"
"828","X9P271R2D7","D7","P271","INFfeed","Fecal","D7_INFfeed","Proteobacteria",0.0046,0.0463,"keep"
"829","X9P272R2Dm3","DNEG3","P272","INFfeed","Fecal Swab","DNEG3_INFfeed","Proteobacteria",0.0093,0.0463,"keep"
"830","X9P278R2D0","D0","P278","INFfeed","Fecal or Fecal swab","D0_INFfeed","Epsilonbacteraeota",0.0023,0.0463,"keep"
"831","X9P271R2D7","D7","P271","INFfeed","Fecal","D7_INFfeed","Spirochaetes",0.0046,0.0463,"keep"
"832","X9P278R2D0","D0","P278","INFfeed","Fecal or Fecal swab","D0_INFfeed","Bacteria_unclassified",0.0023,0.0463,"keep"
"833","X9P278R2D0","D0","P278","INFfeed","Fecal or Fecal swab","D0_INFfeed","Cyanobacteria",0.0023,0.0463,"keep"
"834","X9P269R2D0","D0","P269","INFfeed","Fecal or Fecal swab","D0_INFfeed","Proteobacteria",0.0023,0.0462,"keep"
"835","X9P270R2Dm3","DNEG3","P270","INFfeed","Fecal Swab","DNEG3_INFfeed","Proteobacteria",0.0092,0.0462,"keep"
"836","X9P246R1D4","D4","P246","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Actinobacteria",0.0023,0.0462,"keep"
"837","X9P282R2Dm3","DNEG3","P282","INFfeed","Fecal Swab","DNEG3_INFfeed","Actinobacteria",0.0092,0.0462,"keep"
"838","X9P271R2Dm3","DNEG3","P271","INFfeed","Fecal Swab","DNEG3_INFfeed","Spirochaetes",0.0092,0.0462,"keep"
"839","X9P259R1D4","D4","P259","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Planctomycetes",0.0023,0.0462,"keep"
"840","X9P307R4Dm3","DNEG3","P307","INFnm","Fecal Swab","DNEG3_INFnm","Proteobacteria",0.0077,0.0455,"keep"
"841","X9P289R3Dm3","DNEG3","P289","INFinject","Fecal Swab","DNEG3_INFinject","Bacteria_unclassified",0.0077,0.0455,"keep"
"842","X9P324R4Dm3","DNEG3","P324","INFnm","Fecal Swab","DNEG3_INFnm","Bacteria_unclassified",0.0077,0.0454,"keep"
"843","X9P323R4Dm3","DNEG3","P323","INFnm","Fecal Swab","DNEG3_INFnm","Verrucomicrobia",0.0077,0.0454,"keep"
"844","X9P249R1Dm3","DNEG3","P249","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Epsilonbacteraeota",0.0077,0.0453,"keep"
"845","X9P259R1Dm3","DNEG3","P259","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Tenericutes",0.0077,0.0453,"keep"
"846","X9P308R4D0","D0","P308","INFnm","Fecal or Fecal swab","D0_INFnm","Tenericutes",0.0031,0.0448,"keep"
