"","baseMean","log2FoldChange","lfcSE","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","newp","Treatment","OTU","comp"
"Otu0027",475.397874265862,2.52921362251886,0.673533627075426,8.20020774593139e-06,8.20020774593139e-05,"Bacteria","Epsilonbacteraeota",NA,NA,NA,NA,"0e+00","INF","Otu0027","DNEG3_INF_vs_NONINF"
"Otu0112",15.1396743384398,0.349974866499472,0.75526451238884,1.42751364276935e-07,2.85502728553871e-06,"Bacteria","Verrucomicrobia",NA,NA,NA,NA,"0e+00","INF","Otu0112","DNEG3_INF_vs_NONINF"
"Otu01121",25.9752541644279,0.0452648420083071,0.236278628988813,9.46148973965195e-07,1.70306815313735e-05,"Bacteria","Verrucomicrobia",NA,NA,NA,NA,"0e+00","INF","Otu0112","D0_INF_vs_NONINF"
