Day,Treatment,mean,n,sd,se
D0,INFfeed,4.379678052,9,0.6327083968563262,0.07030093298403624
D0,INFinject,3.8824653875,10,1.2451917669384982,0.12451917669384982
D0,INFnm,3.7790722902,10,1.0560111162534564,0.10560111162534565
D4,INFfeed,3.6940541565555556,9,1.0658962021562175,0.11843291135069084
D4,INFinject,2.9710323364,10,0.7610418953491619,0.07610418953491618
D4,INFnm,4.2225444131,10,0.8811676820997744,0.08811676820997744
D7,INFfeed,5.091924496666667,9,0.44819476346988874,0.04979941816332097
D7,INFinject,4.8414394404,10,0.42351280611897363,0.042351280611897364
D7,INFnm,4.446959382,10,0.6911942366666811,0.06911942366666811
