"","group","Day","Pig","Treatment","Sample.type","All","Order","value","value2"
"655","X9P282R2Dm3","DNEG3","P282","INFfeed","Fecal Swab","DNEG3_INFfeed","Clostridiales",0.077,0.3852
"656","X9P282R2D7","D7","P282","INFfeed","Fecal","D7_INFfeed","Bifidobacteriales",0.0385,0.3846
"657","X9P269R2Dm3","DNEG3","P269","INFfeed","Fecal Swab","DNEG3_INFfeed","Erysipelotrichales",0.0763,0.3814
"658","X9P253R1Dm3","DNEG3","P253","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Lactobacillales",0.0648,0.3813
"659","X9P308R4D0","D0","P308","INFnm","Fecal or Fecal swab","D0_INFnm","Enterobacteriales",0.0267,0.381
"660","X9P291R3D0","D0","P291","INFinject","Fecal or Fecal swab","D0_INFinject","Mollicutes_RF39",0.0493,0.3793
"661","X9P294R3D7","D7","P294","INFinject","Fecal","D7_INFinject","Bifidobacteriales",0.0378,0.3775
"662","X9P291R3D7","D7","P291","INFinject","Fecal or Fecal swab","D7_INFinject","Bifidobacteriales",0.0377,0.3772
"663","X9P309R4Dminus3","DNEG3","P309","INFnm","Fecal or Fecal swab","DNEG3_INFnm","Lactobacillales",0.064,0.3764
"664","X9P302R3D7","D7","P302","INFinject","Fecal","D7_INFinject","Spirochaetales",0.0371,0.3707
"665","X9P321R4Dm3","DNEG3","P321","INFnm","Fecal Swab","DNEG3_INFnm","Aeromonadales",0.0625,0.3676
"666","X9P312R4Dm3","DNEG3","P312","INFnm","Fecal Swab","DNEG3_INFnm","Lactobacillales",0.0625,0.3674
"667","X9P310R4Dm3","DNEG3","P310","INFnm","Fecal Swab","DNEG3_INFnm","Aeromonadales",0.0625,0.3674
"668","X9P286R3Dm3","DNEG3","P286","INFinject","Fecal Swab","DNEG3_INFinject","Spirochaetales",0.0624,0.3671
"669","X9P246R1Dm3","DNEG3","P246","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Clostridiales",0.0623,0.3665
"670","X9P267R2D4","D4","P267","INFfeed","Fecal or Fecal swab","D4_INFfeed","Coriobacteriales",0.0146,0.3654
"671","X9P274R2D7","D7","P274","INFfeed","Fecal or Fecal swab","D7_INFfeed","Lactobacillales",0.0362,0.3618
"672","X9P293R3D7","D7","P293","INFinject","Fecal","D7_INFinject","Coriobacteriales",0.0362,0.3615
"673","X9P318R4D4","D4","P318","INFnm","Fecal or Fecal swab","D4_INFnm","Mollicutes_RF39",0.0217,0.3609
"674","X9P307R4Dm3","DNEG3","P307","INFnm","Fecal Swab","DNEG3_INFnm","Selenomonadales",0.0611,0.3594
"675","X9P265R1D0","D0","P265","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Mollicutes_RF39",0.0323,0.359
"676","X9P250R1D4","D4","P250","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Erysipelotrichales",0.0178,0.3552
"677","X9P262R1Dm3","DNEG3","P262","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Spirochaetales",0.0602,0.3543
"678","X9P315R4D7","D7","P315","INFnm","Fecal","D7_INFnm","Bifidobacteriales",0.0354,0.3538
"679","X9P255R1Dm3","DNEG3","P255","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Spirochaetales",0.06,0.3532
"680","X9P265R1D0","D0","P265","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Lactobacillales",0.0315,0.3504
"681","X9P291R3Dminus3","DNEG3","P291","INFinject","Fecal or Fecal swab","DNEG3_INFinject","Lactobacillales",0.0594,0.3492
"682","X9P313R4Dm3","DNEG3","P313","INFnm","Fecal Swab","DNEG3_INFnm","Bacteroidales",0.058,0.3409
"683","X9P257R1Dm3","DNEG3","P257","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Lactobacillales",0.0578,0.3402
"684","X9P296R3Dm3","DNEG3","P296","INFinject","Fecal Swab","DNEG3_INFinject","Lactobacillales",0.0578,0.3399
"685","X9P301R3Dm3","DNEG3","P301","INFinject","Fecal Swab","DNEG3_INFinject","Verrucomicrobiales",0.0578,0.3399
"686","X9P250R1D4","D4","P250","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Mollicutes_RF39",0.017,0.3398
"687","X9P311R4Dm3","DNEG3","P311","INFnm","Fecal Swab","DNEG3_INFnm","Aeromonadales",0.0573,0.3369
"688","X9P255R1D7","D7","P255","NONINFnm","Fecal","D7_NONINFnm","Spirochaetales",0.0269,0.3368
"689","X9P282R2Dm3","DNEG3","P282","INFfeed","Fecal Swab","DNEG3_INFfeed","Campylobacterales",0.0663,0.3313
"690","X9P284R2Dm3","DNEG3","P284","INFfeed","Fecal Swab","DNEG3_INFfeed","Spirochaetales",0.0662,0.331
"691","X9P320R4Dm3","DNEG3","P320","INFnm","Fecal Swab","DNEG3_INFnm","Lactobacillales",0.0562,0.3303
"692","X9P290R3D4","D4","P290","INFinject","Fecal or Fecal swab","D4_INFinject","Lactobacillales",0.0231,0.3297
"693","X9P302R3Dm3","DNEG3","P302","INFinject","Fecal Swab","DNEG3_INFinject","Spirochaetales",0.0558,0.3283
"694","X9P255R1D0","D0","P255","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Lactobacillales",0.0293,0.325
"695","X9P313R4Dm3","DNEG3","P313","INFnm","Fecal Swab","DNEG3_INFnm","Selenomonadales",0.0541,0.3182
"696","X9P325R4D7","D7","P325","INFnm","Fecal","D7_INFnm","Mollicutes_RF39",0.0318,0.3181
"697","X9P255R1D7","D7","P255","NONINFnm","Fecal","D7_NONINFnm","Mollicutes_RF39",0.0254,0.3176
"698","X9P265R1Dm3","DNEG3","P265","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Lactobacillales",0.054,0.3175
"699","X9P285R2Dm3","DNEG3","P285","INFfeed","Fecal Swab","DNEG3_INFfeed","Selenomonadales",0.0634,0.3171
"700","X9P263R1D0","D0","P263","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Selenomonadales",0.0285,0.3162
"701","X9P321R4D7","D7","P321","INFnm","Fecal","D7_INFnm","Spirochaetales",0.0316,0.3159
"702","X9P281R2D7","D7","P281","INFfeed","Fecal","D7_INFfeed","Bifidobacteriales",0.0316,0.3156
"703","X9P323R4Dm3","DNEG3","P323","INFnm","Fecal Swab","DNEG3_INFnm","Campylobacterales",0.0532,0.3132
"704","X9P279R2Dm3","DNEG3","P279","INFfeed","Fecal Swab","DNEG3_INFfeed","Lactobacillales",0.0622,0.3108
"705","X9P253R1D7","D7","P253","NONINFnm","Fecal","D7_NONINFnm","Bifidobacteriales",0.0247,0.3091
"706","X9P253R1D7","D7","P253","NONINFnm","Fecal","D7_NONINFnm","Coriobacteriales",0.0247,0.3091
"707","X9P278R2D0","D0","P278","INFfeed","Fecal or Fecal swab","D0_INFfeed","Lactobacillales",0.0154,0.3089
"708","X9P262R1D7","D7","P262","NONINFnm","Fecal","D7_NONINFnm","Spirochaetales",0.0247,0.3089
"709","X9P259R1D0","D0","P259","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Enterobacteriales",0.0278,0.3084
"710","X9P264R1D0","D0","P264","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Lactobacillales",0.0277,0.3082
"711","X9P310R4D0","D0","P310","INFnm","Fecal or Fecal swab","D0_INFnm","Mollicutes_RF39",0.0216,0.3079
"712","X9P297R3D4","D4","P297","INFinject","Fecal or Fecal swab","D4_INFinject","Erysipelotrichales",0.0215,0.3077
"713","X9P308R4Dm3","DNEG3","P308","INFnm","Fecal Swab","DNEG3_INFnm","Spirochaetales",0.0516,0.3036
"714","X9P324R4D0","D0","P324","INFnm","Fecal or Fecal swab","D0_INFnm","Verrucomicrobiales",0.0209,0.2985
"715","X9P285R2Dm3","DNEG3","P285","INFfeed","Fecal Swab","DNEG3_INFfeed","Deferribacterales",0.0596,0.2978
"716","X9P305R3D0","D0","P305","INFinject","Fecal or Fecal swab","D0_INFinject","Lactobacillales",0.0385,0.2961
"717","X9P286R3D0","D0","P286","INFinject","Fecal or Fecal swab","D0_INFinject","Mollicutes_RF39",0.0385,0.2961
"718","X9P278R2D0","D0","P278","INFfeed","Fecal or Fecal swab","D0_INFfeed","Enterobacteriales",0.0147,0.2934
"719","X9P269R2D0","D0","P269","INFfeed","Fecal or Fecal swab","D0_INFfeed","Coriobacteriales",0.0146,0.2928
"720","X9P284R2Dm3","DNEG3","P284","INFfeed","Fecal Swab","DNEG3_INFfeed","Campylobacterales",0.0585,0.2925
"721","X9P281R2D7","D7","P281","INFfeed","Fecal","D7_INFfeed","Aeromonadales",0.0293,0.2925
"722","X9P306R4Dm3","DNEG3","P306","INFnm","Fecal Swab","DNEG3_INFnm","Spirochaetales",0.0494,0.2905
"723","X9P262R1D7","D7","P262","NONINFnm","Fecal","D7_NONINFnm","Bifidobacteriales",0.0232,0.2896
"724","X9P266R2D4","D4","P266","INFfeed","Fecal or Fecal swab","D4_INFfeed","Erysipelotrichales",0.0115,0.2885
"725","X9P319R4Dm3","DNEG3","P319","INFnm","Fecal Swab","DNEG3_INFnm","Lactobacillales",0.0486,0.2862
"726","X9P294R3Dm3","DNEG3","P294","INFinject","Fecal Swab","DNEG3_INFinject","Enterobacteriales",0.0485,0.2855
"727","X9P323R4D7","D7","P323","INFnm","Fecal","D7_INFnm","Mollicutes_RF39",0.0285,0.2851
"728","X9P257R1Dm3","DNEG3","P257","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Bifidobacteriales",0.0478,0.2812
"729","X9P284R2D0","D0","P284","INFfeed","Fecal or Fecal swab","D0_INFfeed","Mollicutes_RF39",0.0139,0.278
"730","X9P284R2D7","D7","P284","INFfeed","Fecal","D7_INFfeed","Mollicutes_RF39",0.027,0.2703
"731","X9P301R3D7","D7","P301","INFinject","Fecal","D7_INFinject","Coriobacteriales",0.0269,0.2694
"732","X9P301R3D7","D7","P301","INFinject","Fecal","D7_INFinject","Erysipelotrichales",0.0269,0.2694
"733","X9P276R2Dm3","DNEG3","P276","INFfeed","Fecal Swab","DNEG3_INFfeed","Spirochaetales",0.0537,0.2683
"734","X9P277R2Dm3","DNEG3","P277","INFfeed","Fecal Swab","DNEG3_INFfeed","Lactobacillales",0.0533,0.2666
"735","X9P255R1Dm3","DNEG3","P255","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Aeromonadales",0.0446,0.2626
"736","X9P302R3D7","D7","P302","INFinject","Fecal","D7_INFinject","Coriobacteriales",0.0263,0.2625
"737","X9P291R3D0","D0","P291","INFinject","Fecal or Fecal swab","D0_INFinject","Lactobacillales",0.0339,0.2608
"738","X9P287R3Dm3","DNEG3","P287","INFinject","Fecal Swab","DNEG3_INFinject","Spirochaetales",0.044,0.2589
"739","X9P267R2Dm3","DNEG3","P267","INFfeed","Fecal Swab","DNEG3_INFfeed","Lactobacillales",0.0516,0.2579
"740","X9P279R2Dm3","DNEG3","P279","INFfeed","Fecal Swab","DNEG3_INFfeed","Actinomycetales",0.0513,0.2564
"741","X9P292R3D7","D7","P292","INFinject","Fecal","D7_INFinject","Coriobacteriales",0.0255,0.2552
"742","X9P274R2D7","D7","P274","INFfeed","Fecal or Fecal swab","D7_INFfeed","Mollicutes_RF39",0.0254,0.254
"743","X9P275R2Dm3","DNEG3","P275","INFfeed","Fecal Swab","DNEG3_INFfeed","Lactobacillales",0.0508,0.2538
"744","X9P293R3D7","D7","P293","INFinject","Fecal","D7_INFinject","Bifidobacteriales",0.0254,0.2538
"745","X9P250R1Dm3","DNEG3","P250","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Lactobacillales",0.0431,0.2538
"746","X9P299R3Dm3","DNEG3","P299","INFinject","Fecal Swab","DNEG3_INFinject","Lactobacillales",0.0431,0.2536
"747","X9P309R4D0","D0","P309","INFnm","Fecal or Fecal swab","D0_INFnm","Coriobacteriales",0.0177,0.2527
"748","X9P267R2D4","D4","P267","INFfeed","Fecal or Fecal swab","D4_INFfeed","Betaproteobacteriales",0.01,0.25
"749","X9P312R4D7","D7","P312","INFnm","Fecal","D7_INFnm","Coriobacteriales",0.0247,0.2469
"750","X9P317R4D4","D4","P317","INFnm","Fecal or Fecal swab","D4_INFnm","Enterobacteriales",0.0147,0.2449
"751","X9P278R2Dm3","DNEG3","P278","INFfeed","Fecal Swab","DNEG3_INFfeed","Lactobacillales",0.0485,0.2425
"752","X9P301R3D0","D0","P301","INFinject","Fecal or Fecal swab","D0_INFinject","Verrucomicrobiales",0.0308,0.2367
"753","X9P324R4D0","D0","P324","INFnm","Fecal or Fecal swab","D0_INFnm","Spirochaetales",0.0163,0.2322
"754","X9P284R2D0","D0","P284","INFfeed","Fecal or Fecal swab","D0_INFfeed","Lactobacillales",0.0116,0.2317
"755","X9P280R2D0","D0","P280","INFfeed","Fecal or Fecal swab","D0_INFfeed","Lactobacillales",0.0115,0.2309
"756","X9P266R2D4","D4","P266","INFfeed","Fecal or Fecal swab","D4_INFfeed","Coriobacteriales",0.0092,0.2308
"757","X9P325R4Dm3","DNEG3","P325","INFnm","Fecal Swab","DNEG3_INFnm","Campylobacterales",0.0382,0.2248
"758","X9P272R2D7","D7","P272","INFfeed","Fecal","D7_INFfeed","Bifidobacteriales",0.0224,0.2239
"759","X9P284R2Dm3","DNEG3","P284","INFfeed","Fecal Swab","DNEG3_INFfeed","Enterobacteriales",0.0446,0.2232
"760","X9P322R4Dm3","DNEG3","P322","INFnm","Fecal Swab","DNEG3_INFnm","Lactobacillales",0.0378,0.2226
"761","X9P324R4Dm3","DNEG3","P324","INFnm","Fecal Swab","DNEG3_INFnm","Lactobacillales",0.0378,0.2222
"762","X9P250R1D0","D0","P250","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Erysipelotrichales",0.02,0.2222
"763","X9P258R1Dm3","DNEG3","P258","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Bifidobacteriales",0.0377,0.2219
"764","X9P286R3D4","D4","P286","INFinject","Fecal or Fecal swab","D4_INFinject","Pirellulales",0.0154,0.2203
"765","X9P310R4D0","D0","P310","INFnm","Fecal or Fecal swab","D0_INFnm","Gammaproteobacteria_unclassified",0.0154,0.2199
"766","X9P282R2Dm3","DNEG3","P282","INFfeed","Fecal Swab","DNEG3_INFfeed","Enterobacteriales",0.0439,0.2196
"767","X9P300R3D0","D0","P300","INFinject","Fecal or Fecal swab","D0_INFinject","Mollicutes_RF39",0.0285,0.2191
"768","X9P306R4D4","D4","P306","INFnm","Fecal or Fecal swab","D4_INFnm","Bifidobacteriales",0.0131,0.2185
"769","X9P278R2D0","D0","P278","INFfeed","Fecal or Fecal swab","D0_INFfeed","Mollicutes_RF39",0.0108,0.2162
"770","X9P305R3D7","D7","P305","INFinject","Fecal","D7_INFinject","Coriobacteriales",0.0216,0.2157
"771","X9P291R3D7","D7","P291","INFinject","Fecal or Fecal swab","D7_INFinject","Coriobacteriales",0.0216,0.2156
"772","X9P265R1D0","D0","P265","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Bifidobacteriales",0.0192,0.2137
"773","X9P302R3D0","D0","P302","INFinject","Fecal or Fecal swab","D0_INFinject","Lactobacillales",0.0277,0.2133
"774","X9P298R3D4","D4","P298","INFinject","Fecal or Fecal swab","D4_INFinject","Erysipelotrichales",0.0146,0.2091
"775","X9P312R4D7","D7","P312","INFnm","Fecal","D7_INFnm","Bifidobacteriales",0.0208,0.2083
"776","X9P271R2D7","D7","P271","INFfeed","Fecal","D7_INFfeed","Coriobacteriales",0.0208,0.2083
"777","X9P295R3D7","D7","P295","INFinject","Fecal","D7_INFinject","Erysipelotrichales",0.0208,0.2083
"778","X9P273R2D7","D7","P273","INFfeed","Fecal","D7_INFfeed","Lactobacillales",0.0208,0.2082
"779","X9P313R4D7","D7","P313","INFnm","Fecal","D7_INFnm","Coriobacteriales",0.0208,0.2079
"780","X9P319R4D4","D4","P319","INFnm","Fecal or Fecal swab","D4_INFnm","Bacteria_unclassified",0.0124,0.2064
"781","X9P323R4Dm3","DNEG3","P323","INFnm","Fecal Swab","DNEG3_INFnm","Spirochaetales",0.0347,0.2042
"782","X9P308R4Dm3","DNEG3","P308","INFnm","Fecal Swab","DNEG3_INFnm","Lactobacillales",0.0347,0.2039
"783","X9P265R1D7","D7","P265","NONINFnm","Fecal","D7_NONINFnm","Coriobacteriales",0.0162,0.2029
"784","X9P264R1D7","D7","P264","NONINFnm","Fecal","D7_NONINFnm","Mollicutes_RF39",0.0162,0.2022
"785","X9P324R4D7","D7","P324","INFnm","Fecal","D7_INFnm","Coriobacteriales",0.0201,0.2009
"786","X9P267R2D0","D0","P267","INFfeed","Fecal or Fecal swab","D0_INFfeed","Selenomonadales",0.01,0.2005
"787","X9P266R2Dm3","DNEG3","P266","INFfeed","Fecal Swab","DNEG3_INFfeed","Lactobacillales",0.04,0.2002
"788","X9P313R4D7","D7","P313","INFnm","Fecal","D7_INFnm","Bifidobacteriales",0.02,0.2002
"789","X9P314R4D7","D7","P314","INFnm","Fecal","D7_INFnm","Coriobacteriales",0.02,0.2002
"790","X9P268R2Dm3","DNEG3","P268","INFfeed","Fecal Swab","DNEG3_INFfeed","Aeromonadales",0.04,0.2002
"791","X9P259R1D4","D4","P259","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Spirochaetales",0.01,0.2
"792","X9P249R1Dm3","DNEG3","P249","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Lactobacillales",0.0339,0.1994
"793","X9P293R3Dm3","DNEG3","P293","INFinject","Fecal Swab","DNEG3_INFinject","Spirochaetales",0.0338,0.1991
"794","X9P297R3D4","D4","P297","INFinject","Fecal or Fecal swab","D4_INFinject","Coriobacteriales",0.0138,0.1978
"795","X9P248R1Dm3","DNEG3","P248","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Aeromonadales",0.0332,0.195
"796","X9P274R2Dm3","DNEG3","P274","INFfeed","Fecal Swab","DNEG3_INFfeed","Lactobacillales",0.0387,0.1933
"797","X9P324R4D7","D7","P324","INFnm","Fecal","D7_INFnm","Erysipelotrichales",0.0193,0.1932
"798","X9P302R3D7","D7","P302","INFinject","Fecal","D7_INFinject","Erysipelotrichales",0.0193,0.1931
"799","X9P303R3D7","D7","P303","INFinject","Fecal or Fecal swab","D7_INFinject","Bifidobacteriales",0.0193,0.1926
"800","X9P263R1D7","D7","P263","NONINFnm","Fecal","D7_NONINFnm","Bifidobacteriales",0.0154,0.1925
"801","X9P271R2Dm3","DNEG3","P271","INFfeed","Fecal Swab","DNEG3_INFfeed","Bacteria_unclassified",0.0385,0.1923
"802","X9P324R4D0","D0","P324","INFnm","Fecal or Fecal swab","D0_INFnm","Erysipelotrichales",0.0132,0.188
"803","X9P309R4D0","D0","P309","INFnm","Fecal or Fecal swab","D0_INFnm","Lactobacillales",0.0131,0.1868
"804","X9P290R3D4","D4","P290","INFinject","Fecal or Fecal swab","D4_INFinject","Bacteria_unclassified",0.0131,0.1868
"805","X9P307R4Dm3","DNEG3","P307","INFnm","Fecal Swab","DNEG3_INFnm","Lactobacillales",0.0317,0.1865
"806","X9P288R3Dm3","DNEG3","P288","INFinject","Fecal Swab","DNEG3_INFinject","Erysipelotrichales",0.0317,0.1864
"807","X9P258R1D4","D4","P258","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Bifidobacteriales",0.0093,0.1855
"808","X9P258R1D4","D4","P258","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Coriobacteriales",0.0093,0.1855
"809","X9P257R1D4","D4","P257","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Enterobacteriales",0.0093,0.1853
"810","X9P278R2D0","D0","P278","INFfeed","Fecal or Fecal swab","D0_INFfeed","Coriobacteriales",0.0093,0.1853
"811","X9P302R3D7","D7","P302","INFinject","Fecal","D7_INFinject","Mollicutes_RF39",0.0185,0.1853
"812","X9P267R2D0","D0","P267","INFfeed","Fecal or Fecal swab","D0_INFfeed","Spirochaetales",0.0093,0.185
"813","X9P266R2Dm3","DNEG3","P266","INFfeed","Fecal Swab","DNEG3_INFfeed","Pasteurellales",0.037,0.1848
"814","X9P246R1D4","D4","P246","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Erysipelotrichales",0.0092,0.1846
"815","X9P288R3Dm3","DNEG3","P288","INFinject","Fecal Swab","DNEG3_INFinject","Lactobacillales",0.0309,0.1818
"816","X9P319R4Dm3","DNEG3","P319","INFnm","Fecal Swab","DNEG3_INFnm","Spirochaetales",0.0309,0.1817
"817","X9P317R4Dm3","DNEG3","P317","INFnm","Fecal Swab","DNEG3_INFnm","Lactobacillales",0.0309,0.1816
"818","X9P265R1Dm3","DNEG3","P265","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Coriobacteriales",0.0308,0.1814
"819","X9P320R4Dm3","DNEG3","P320","INFnm","Fecal Swab","DNEG3_INFnm","Aeromonadales",0.0308,0.181
"820","X9P316R4D4","D4","P316","INFnm","Fecal or Fecal swab","D4_INFnm","Coriobacteriales",0.0109,0.1809
"821","X9P275R2Dm3","DNEG3","P275","INFfeed","Fecal Swab","DNEG3_INFfeed","Spirochaetales",0.0362,0.1808
"822","X9P317R4D4","D4","P317","INFnm","Fecal or Fecal swab","D4_INFnm","Mollicutes_RF39",0.0108,0.1805
"823","X9P263R1D0","D0","P263","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Coriobacteriales",0.0162,0.1795
"824","X9P299R3D0","D0","P299","INFinject","Fecal or Fecal swab","D0_INFinject","Enterobacteriales",0.0232,0.1785
"825","X9P293R3D0","D0","P293","INFinject","Fecal or Fecal swab","D0_INFinject","Spirochaetales",0.0231,0.1779
"826","X9P292R3D7","D7","P292","INFinject","Fecal","D7_INFinject","Bifidobacteriales",0.0178,0.1779
"827","X9P305R3D0","D0","P305","INFinject","Fecal or Fecal swab","D0_INFinject","Enterobacteriales",0.0231,0.1777
"828","X9P248R1Dm3","DNEG3","P248","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Enterobacteriales",0.0301,0.1769
"829","X9P296R3Dm3","DNEG3","P296","INFinject","Fecal Swab","DNEG3_INFinject","Spirochaetales",0.03,0.1767
"830","X9P289R3D4","D4","P289","INFinject","Fecal or Fecal swab","D4_INFinject","Bifidobacteriales",0.0123,0.1761
"831","X9P298R3D4","D4","P298","INFinject","Fecal or Fecal swab","D4_INFinject","Bifidobacteriales",0.0123,0.1761
"832","X9P309R4D0","D0","P309","INFnm","Fecal or Fecal swab","D0_INFnm","Erysipelotrichales",0.0123,0.1758
"833","X9P269R2D4","D4","P269","INFfeed","Fecal or Fecal swab","D4_INFfeed","Enterobacteriales",0.007,0.1752
"834","X9P269R2D4","D4","P269","INFfeed","Fecal or Fecal swab","D4_INFfeed","Spirochaetales",0.007,0.1752
"835","X9P317R4Dm3","DNEG3","P317","INFnm","Fecal Swab","DNEG3_INFnm","Spirochaetales",0.0293,0.1725
"836","X9P255R1D0","D0","P255","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Bacteria_unclassified",0.0154,0.1711
"837","X9P250R1D4","D4","P250","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Coriobacteriales",0.0085,0.1699
"838","X9P294R3D7","D7","P294","INFinject","Fecal","D7_INFinject","Gastranaerophilales",0.0169,0.1695
"839","X9P290R3Dm3","DNEG3","P290","INFinject","Fecal Swab","DNEG3_INFinject","Spirochaetales",0.0286,0.1685
"840","X9P309R4D4","D4","P309","INFnm","Fecal or Fecal swab","D4_INFnm","Enterobacteriales",0.01,0.1667
"841","X9P317R4D0","D0","P317","INFnm","Fecal or Fecal swab","D0_INFnm","Enterobacteriales",0.0115,0.165
"842","X9P265R1D7","D7","P265","NONINFnm","Fecal","D7_NONINFnm","Bifidobacteriales",0.0131,0.1642
"843","X9P302R3Dm3","DNEG3","P302","INFinject","Fecal Swab","DNEG3_INFinject","Lactobacillales",0.0279,0.1642
"844","X9P262R1D7","D7","P262","NONINFnm","Fecal","D7_NONINFnm","Gastranaerophilales",0.0131,0.1641
"845","X9P311R4D7","D7","P311","INFnm","Fecal","D7_INFnm","Coriobacteriales",0.0163,0.1632
"846","X9P275R2D7","D7","P275","INFfeed","Fecal or Fecal swab","D7_INFfeed","Mollicutes_RF39",0.0163,0.163
"847","X9P284R2D7","D7","P284","INFfeed","Fecal","D7_INFfeed","Erysipelotrichales",0.0162,0.1622
"848","X9P295R3D7","D7","P295","INFinject","Fecal","D7_INFinject","Gastranaerophilales",0.0162,0.162
"849","X9P303R3D7","D7","P303","INFinject","Fecal or Fecal swab","D7_INFinject","Coriobacteriales",0.0162,0.1618
"850","X9P322R4D7","D7","P322","INFnm","Fecal","D7_INFnm","Erysipelotrichales",0.0162,0.1615
"851","X9P295R3D0","D0","P295","INFinject","Fecal or Fecal swab","D0_INFinject","Selenomonadales",0.0208,0.16
"852","X9P269R2D4","D4","P269","INFfeed","Fecal or Fecal swab","D4_INFfeed","Erysipelotrichales",0.0062,0.1558
"853","X9P296R3D4","D4","P296","INFinject","Fecal or Fecal swab","D4_INFinject","Erysipelotrichales",0.0109,0.1554
"854","X9P316R4D4","D4","P316","INFnm","Fecal or Fecal swab","D4_INFnm","Enterobacteriales",0.0093,0.155
"855","X9P265R1D7","D7","P265","NONINFnm","Fecal","D7_NONINFnm","Erysipelotrichales",0.0124,0.1546
"856","X9P278R2D0","D0","P278","INFfeed","Fecal or Fecal swab","D0_INFfeed","Erysipelotrichales",0.0077,0.1544
"857","X9P284R2D0","D0","P284","INFfeed","Fecal or Fecal swab","D0_INFfeed","Spirochaetales",0.0077,0.1544
"858","X9P287R3Dm3","DNEG3","P287","INFinject","Fecal Swab","DNEG3_INFinject","WCHB1-41",0.0263,0.1544
"859","X9P323R4Dm3","DNEG3","P323","INFnm","Fecal Swab","DNEG3_INFnm","Lactobacillales",0.0262,0.1543
"860","X9P267R2D0","D0","P267","INFfeed","Fecal or Fecal swab","D0_INFfeed","Coriobacteriales",0.0077,0.1542
"861","X9P324R4Dm3","DNEG3","P324","INFnm","Fecal Swab","DNEG3_INFnm","Spirochaetales",0.0262,0.1542
"862","X9P273R2Dm3","DNEG3","P273","INFfeed","Fecal Swab","DNEG3_INFfeed","Enterobacteriales",0.0308,0.1541
"863","X9P289R3D4","D4","P289","INFinject","Fecal or Fecal swab","D4_INFinject","Coriobacteriales",0.0108,0.1541
"864","X9P299R3D4","D4","P299","INFinject","Fecal or Fecal swab","D4_INFinject","Coriobacteriales",0.0108,0.1541
"865","X9P278R2D4","D4","P278","INFfeed","Fecal or Fecal swab","D4_INFfeed","Enterobacteriales",0.0062,0.154
"866","X9P280R2D0","D0","P280","INFfeed","Fecal or Fecal swab","D0_INFfeed","Enterobacteriales",0.0077,0.154
"867","X9P266R2Dm3","DNEG3","P266","INFfeed","Fecal Swab","DNEG3_INFfeed","Coriobacteriales",0.0308,0.154
"868","X9P278R2D4","D4","P278","INFfeed","Fecal or Fecal swab","D4_INFfeed","Aeromonadales",0.0062,0.154
"869","X9P250R1D0","D0","P250","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Bifidobacteriales",0.0138,0.1538
"870","X9P309R4D4","D4","P309","INFnm","Fecal or Fecal swab","D4_INFnm","Bifidobacteriales",0.0092,0.1538
"871","X9P259R1D4","D4","P259","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Erysipelotrichales",0.0077,0.1538
"872","X9P290R3D4","D4","P290","INFinject","Fecal or Fecal swab","D4_INFinject","Mollicutes_RF39",0.0108,0.1538
"873","X9P319R4Dm3","DNEG3","P319","INFnm","Fecal Swab","DNEG3_INFnm","Aeromonadales",0.0255,0.1499
"874","X9P248R1Dm3","DNEG3","P248","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Lactobacillales",0.0254,0.1497
