"","group","Day","Pig","Treatment","Sample.type","All","Order","value","value2"
"322","X9P315R4D7","D7","P315","INFnm","Fecal","D7_INFnm","Bacteroidales",0.1823,1.8231
"323","X9P247R1Dm3","DNEG3","P247","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Clostridiales",0.3094,1.8198
"324","X9P294R3D7","D7","P294","INFinject","Fecal","D7_INFinject","Bacteroidales",0.1803,1.8028
"325","X9P257R1Dm3","DNEG3","P257","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Bacteroidales",0.3045,1.7915
"326","X9P312R4D7","D7","P312","INFnm","Fecal","D7_INFnm","Lactobacillales",0.179,1.7901
"327","X9P295R3D0","D0","P295","INFinject","Fecal or Fecal swab","D0_INFinject","Bacteroidales",0.2327,1.7897
"328","X9P296R3D0","D0","P296","INFinject","Fecal or Fecal swab","D0_INFinject","Bacteroidales",0.2323,1.787
"329","X9P269R2Dm3","DNEG3","P269","INFfeed","Fecal Swab","DNEG3_INFfeed","Bacteroidales",0.3559,1.7797
"330","X9P281R2Dm3","DNEG3","P281","INFfeed","Fecal Swab","DNEG3_INFfeed","Bacteroidales",0.3559,1.7797
"331","X9P312R4D7","D7","P312","INFnm","Fecal","D7_INFnm","Bacteroidales",0.1775,1.7747
"332","X9P321R4D7","D7","P321","INFnm","Fecal","D7_INFnm","Clostridiales",0.1772,1.772
"333","X9P278R2Dm3","DNEG3","P278","INFfeed","Fecal Swab","DNEG3_INFfeed","Bacteroidales",0.3541,1.7706
"334","X9P316R4D4","D4","P316","INFnm","Fecal or Fecal swab","D4_INFnm","Lactobacillales",0.1062,1.77
"335","X9P263R1Dm3","DNEG3","P263","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Bacteroidales",0.3,1.7647
"336","X9P312R4Dm3","DNEG3","P312","INFnm","Fecal Swab","DNEG3_INFnm","Selenomonadales",0.2992,1.7597
"337","X9P293R3Dm3","DNEG3","P293","INFinject","Fecal Swab","DNEG3_INFinject","Selenomonadales",0.2985,1.7557
"338","X9P287R3Dm3","DNEG3","P287","INFinject","Fecal Swab","DNEG3_INFinject","Clostridiales",0.2965,1.7443
"339","X9P259R1Dm3","DNEG3","P259","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Clostridiales",0.2928,1.7221
"340","X9P292R3Dm3","DNEG3","P292","INFinject","Fecal Swab","DNEG3_INFinject","Clostridiales",0.2923,1.7197
"341","X9P321R4Dm3","DNEG3","P321","INFnm","Fecal Swab","DNEG3_INFnm","Bacteroidales",0.2909,1.7111
"342","X9P306R4D4","D4","P306","INFnm","Fecal or Fecal swab","D4_INFnm","Lactobacillales",0.1025,1.7091
"343","X9P278R2D4","D4","P278","INFfeed","Fecal or Fecal swab","D4_INFfeed","Lactobacillales",0.0677,1.6936
"344","X9P301R3D7","D7","P301","INFinject","Fecal","D7_INFinject","Bacteroidales",0.1686,1.6859
"345","X9P292R3Dm3","DNEG3","P292","INFinject","Fecal Swab","DNEG3_INFinject","Bacteroidales",0.2846,1.6742
"346","X9P275R2D7","D7","P275","INFfeed","Fecal or Fecal swab","D7_INFfeed","Clostridiales",0.1661,1.6615
"347","X9P323R4Dm3","DNEG3","P323","INFnm","Fecal Swab","DNEG3_INFnm","Clostridiales",0.2816,1.6567
"348","X9P308R4Dm3","DNEG3","P308","INFnm","Fecal Swab","DNEG3_INFnm","Clostridiales",0.2804,1.6496
